Date,Session ID,Time,Hall,Session Type,Title,Chairs,Presentation ID,Presentation Time,Presentation Title,Presenter
11 April 2025,EW005,08:30 - 10:30,8,Educational Session,Diagnostic parasitology in the XXIst century: is microscopy “+” still useful?,Miriam José Álvarez-Martínez; Spain); Caroline Rönnberg; Sweden),W0020,09:30,Paleoparasitology: what diagnostic tools?,"Ayman El-
Badry (Cairo, Egypt)"
11 April 2025,EW006,08:30 - 10:30,9,Educational Session,Vaccine hesitancy: from issues to solutions through developing,Monia Chemais; Belgium); Petar Velikov; Bulgaria),W0021,08:30,,"Vaccine hesitancy and its consequences Noni 
Macdonald (Halifax, Canada)"
11 April 2025,EW006,08:30 - 10:30,9,Educational Session,Vaccine hesitancy: from issues to solutions through developing,Monia Chemais; Belgium); Petar Velikov; Bulgaria),W0023,09:10,,"Using social media to deal with vaccine 
hesitancy Muge Cevik (St Andrews, United Kingdom)"
11 April 2025,SP1,08:30 - 10:30,0,Special Session,Antimicrobial Stewardship in Different Scenarios,Murat Akova; Türkiye); Andre Fuchs; Germany); Maddalena Giannella; Italy); Angela Huttner; Switzerland); Benedikt Huttner; Switzerland); Jose Ramon Pano-Pardo; Spain); Galadriel Pellejero-Sagastizábal; Spain); Holger Rohde; Germany); Oana Sandulescu; Romania); Jeroen Schouten; Netherlands); Valentijn Schweitzer; Netherlands); Thomas Tängdén; Sweden); Suzanne Van Asten; Netherlands); Dafna Yahav; Israel),P1,08:30,- 10:30,"Hall 0
Special Session
Antimicrobial Stewardship in Different Scenarios 
Chairs Murat Akova (Ankara, Türkiye)"
11 April 2025,EW001,08:30 - 10:30,2,Educational Session,Surgical site infections: principles and practice in the era of multidrug,Gabriel Birgand; France); Efthymia Giannitsioti; Greece),W0002,08:50,,"Role of decolonisation and bowel decontamination in 
regions of overwhelming multidrug 
resistance Prasannakumar Palanikumar (Vellore, 
India)"
11 April 2025,EW001,08:30 - 10:30,2,Educational Session,Surgical site infections: principles and practice in the era of multidrug,Gabriel Birgand; France); Efthymia Giannitsioti; Greece),W0003,09:10,Screening for MDR GNR coloniSation:,"is there 
evidence for prophylaxis Elisabeth Presterl (Vienna, 
Austria)"
11 April 2025,EW001,08:30 - 10:30,2,Educational Session,Surgical site infections: principles and practice in the era of multidrug,Gabriel Birgand; France); Efthymia Giannitsioti; Greece),W0004,09:30,,"Perioperative prophylaxis in special populations in 
the era of MDR Divyashree Shanthamurthy (Mumbai, 
India)"
11 April 2025,EW002,08:30 - 10:30,3,Educational Session,Demystifying pharmacokinetics and population pharmacokinetics: a toolkit,Shampa Das; United Kingdom); João Paulo Telles; Brazil),W0005,08:30,Pharmacokinetics 101:,"navigating the basics for 
optimal dosing Linda Aulin (Leiden, Netherlands)"
11 April 2025,EW002,08:30 - 10:30,3,Educational Session,Demystifying pharmacokinetics and population pharmacokinetics: a toolkit,Shampa Das; United Kingdom); João Paulo Telles; Brazil),W0006,08:50,,"The ABCs of population pharmacokinetic 
models Erwin Dreesen (Leuven, Belgium)"
11 April 2025,EW002,08:30 - 10:30,3,Educational Session,Demystifying pharmacokinetics and population pharmacokinetics: a toolkit,Shampa Das; United Kingdom); João Paulo Telles; Brazil),W0007,09:10,Looking into the crystal ball:,"exploring the fabulous 
world of PK-PD simulations Vincent Aranzana-Climent 
(Poitiers, France)"
11 April 2025,EW003,08:30 - 10:30,5,Educational Session,,Kerrie Davies; United Kingdom); Yann Dumont; France),W003,08:30,- 10:30,"Hall 5
Educational SessionChallenges in identification and relevance of slow-growing pathogens
Chairs Kerrie Davies (Leeds, United Kingdom)"
11 April 2025,EW003,08:30 - 10:30,5,Educational Session,,Kerrie Davies; United Kingdom); Yann Dumont; France),W0009,08:30,,"Sampling and culturing anaerobes Hugo Cruz (Porto, 
Portugal)"
11 April 2025,EW004,08:30 - 10:30,6,Educational Session,A hard nut to crack in HIV,Yoav Keynan; Canada); Justyna Kowalska; Poland),W004,08:30,- 10:30,"Hall 6
Educational Session
A hard nut to crack in HIV
Chairs Yoav Keynan (Winnipeg, Canada)"
11 April 2025,EW004,08:30 - 10:30,6,Educational Session,A hard nut to crack in HIV,Yoav Keynan; Canada); Justyna Kowalska; Poland),W0013,08:30,Viral reservoir:,"what a physician should know Ivailo 
Alexiev (Sofia, Bulgaria)"
11 April 2025,EW004,08:30 - 10:30,6,Educational Session,A hard nut to crack in HIV,Yoav Keynan; Canada); Justyna Kowalska; Poland),W0014,08:50,Non-suppressible viraemia during HIV-1 therapy:,"a 
challenge for clinicians Jose Arribas (Madrid, Spain)"
11 April 2025,EW004,08:30 - 10:30,6,Educational Session,A hard nut to crack in HIV,Yoav Keynan; Canada); Justyna Kowalska; Poland),W0016,09:30,Opportunistic infections:,"most common and most 
deadly Milena Stevanovikj (Sopje, North Macedonia, 
Republic of)"
11 April 2025,EW005,08:30 - 10:30,8,Educational Session,Diagnostic parasitology in the XXIst century: is microscopy “+” still useful?,Miriam José Álvarez-Martínez; Spain); Caroline Rönnberg; Sweden),W0017,08:30,,"Artificial Intelligence for the diagnosis of parasitic 
infections Bobbi Pritt (Rochester, United States)"
11 April 2025,EW005,08:30 - 10:30,8,Educational Session,Diagnostic parasitology in the XXIst century: is microscopy “+” still useful?,Miriam José Álvarez-Martínez; Spain); Caroline Rönnberg; Sweden),W0018,08:50,,"Histopathology of parasitic infections Richard 
Bradbury (Townsville, Australia)"
11 April 2025,EW005,08:30 - 10:30,8,Educational Session,Diagnostic parasitology in the XXIst century: is microscopy “+” still useful?,Miriam José Álvarez-Martínez; Spain); Caroline Rönnberg; Sweden),W0019,09:10,,"Molecular diagnosis vs. microscopy in the diagnosis 
of parasitic infections Sitara Sr Ajjampur (Vellore, 
India)"
11 April 2025,EW005,08:30 - 10:30,8,Educational Session,Diagnostic parasitology in the XXIst century: is microscopy “+” still useful?,Miriam José Álvarez-Martínez; Spain); Caroline Rönnberg; Sweden),W0020,09:30,Paleoparasitology: what diagnostic tools?,"Ayman El-
Badry (Cairo, Egypt)"
11 April 2025,EW006,08:30 - 10:30,9,Educational Session,Vaccine hesitancy: from issues to solutions through developing,Monia Chemais; Belgium); Petar Velikov; Bulgaria),W0021,08:30,,"Vaccine hesitancy and its consequences Noni 
Macdonald (Halifax, Canada)"
11 April 2025,EW006,08:30 - 10:30,9,Educational Session,Vaccine hesitancy: from issues to solutions through developing,Monia Chemais; Belgium); Petar Velikov; Bulgaria),W0023,09:10,,"Using social media to deal with vaccine 
hesitancy Muge Cevik (St Andrews, United Kingdom)"
11 April 2025,SP2,11:00 - 12:00,0,Special Session,Principles of systematic reviews (with and without meta-analysis),Chiara Iaria; Italy); Miranda Langendam; Netherlands); Blin Nagavci; Kosovo); Mical Paul; Israel); Luigia Scudeller; Italy),P2,11:00,- 12:00,"Hall 0
Special Session
Principles of systematic reviews (with and without meta-analysis)"
11 April 2025,ME007,11:00 - 12:00,2,Meet-the-Expert,How to interpret resistance patterns from antibiograms,,M0025,11:00,,"Tommaso Giani (Florence, Italy)"
11 April 2025,ME007,11:00 - 12:00,2,Meet-the-Expert,How to interpret resistance patterns from antibiograms,,M0026,11:12,,"Diaz Lorena (Santiago, Chile)"
11 April 2025,ME008,11:00 - 12:00,3,Meet-the-Expert,Children are not just small adults: interactive paediatric cases,,M0027,11:00,,"Julie Toubiana (Paris, France)"
11 April 2025,ME008,11:00 - 12:00,3,Meet-the-Expert,Children are not just small adults: interactive paediatric cases,,M0028,11:12,,"Sanjay Patel (Winchester, United Kingdom)"
11 April 2025,ME009,11:00 - 12:00,5,Meet-the-Expert,How to practise WHO Guidelines for the prevention of bloodstream infections,,M0029,11:00,,"Kushlani Jayatilleke (Battaramulla, Sri Lanka)"
11 April 2025,ME009,11:00 - 12:00,5,Meet-the-Expert,How to practise WHO Guidelines for the prevention of bloodstream infections,,M0030,11:12,,"Walter Zingg (Zurich, Switzerland)"
11 April 2025,ME010,11:00 - 12:00,6,Meet-the-Expert,"Can we stop vertical transmission of syphilis, HIV and hepatitis? Regional",,M0031,11:00,,"Ecaterina Noroc (Chisinau, Moldova, Republic of)"
11 April 2025,ME010,11:00 - 12:00,6,Meet-the-Expert,"Can we stop vertical transmission of syphilis, HIV and hepatitis? Regional",,M0032,11:12,,"Fakhriddin Nizamov (Almaty, Kazakhstan)"
11 April 2025,ME011,11:00 - 12:00,8,Meet-the-Expert,Biofilm-related nontuberculous mycobacterial infections: ongoing nightmare,,M0033,11:00,,"Jaime Esteban (Madrid, Spain)"
11 April 2025,ME011,11:00 - 12:00,8,Meet-the-Expert,Biofilm-related nontuberculous mycobacterial infections: ongoing nightmare,,M0034,11:12,,"Philippe Morand (Paris, France)"
11 April 2025,ME012,11:00 - 12:00,9,Meet-the-Expert,How to understand infectious disease risks in changing climates,,M0035,11:00,,"Kimberly Fornace (Singapore, Singapore)"
11 April 2025,ME012,11:00 - 12:00,9,Meet-the-Expert,How to understand infectious disease risks in changing climates,,M0036,11:12,,"Rachel Lowe (Barcelona, Spain)"
11 April 2025,SP3,13:30 - 14:30,0,Special Session,Top five mistakes in Infection prevention and control,Maeve Doyle; Ireland); Barbara Juliane Holzknecht; Denmark); David Ong; Netherlands); Arjana Tambic Andrasevic; Croatia),P3,13:30,- 14:30,"Hall 0
Special Session
Top five mistakes in Infection prevention and control
Chairs Maeve Doyle (Waterford, Ireland)"
11 April 2025,ME013,13:30 - 14:30,2,Meet-the-Expert,Orthopaedic implant infections: new approaches for improved outcomes,,M0037,13:30,,"Marjan Wouthuyzen-Bakker (Groningen, 
Netherlands)"
11 April 2025,ME013,13:30 - 14:30,2,Meet-the-Expert,Orthopaedic implant infections: new approaches for improved outcomes,,M0038,13:42,,"Trisha Peel (Melbourne, Australia)"
11 April 2025,ME014,13:30 - 14:30,3,Meet-the-Expert,Timing of antimicrobials in sepsis and septic shock - the sooner the better?,,M0039,13:30,,"Laura Evans (Seattle, United States)"
11 April 2025,ME014,13:30 - 14:30,3,Meet-the-Expert,Timing of antimicrobials in sepsis and septic shock - the sooner the better?,,M0040,13:42,,"Evangelos Giamarellos-Bourboulis (Athens, Greece)"
11 April 2025,ME015,13:30 - 14:30,5,Meet-the-Expert,PrEP in Europe: Current gaps and solutions,,M0041,13:30,,"Teymur Noori (Stockholm, Sweden)"
11 April 2025,ME015,13:30 - 14:30,5,Meet-the-Expert,PrEP in Europe: Current gaps and solutions,,M0042,13:42,,"Milosz Parczewski (Szczecin, Poland)"
11 April 2025,ME016,13:30 - 14:30,6,Meet-the-Expert,Short regimens for treating drug-susceptible and drug-resistant tuberculosis:,,,,,
11 April 2025,SP2,11:00 - 12:00,0,Special Session,Principles of systematic reviews (with and without meta-analysis),Chiara Iaria; Italy); Miranda Langendam; Netherlands); Blin Nagavci; Kosovo); Mical Paul; Israel); Luigia Scudeller; Italy),P2,11:00,- 12:00,"Hall 0
Special Session
Principles of systematic reviews (with and without meta-analysis)"
11 April 2025,ME007,11:00 - 12:00,2,Meet-the-Expert,How to interpret resistance patterns from antibiograms,,M0025,11:00,,"Tommaso Giani (Florence, Italy)"
11 April 2025,ME007,11:00 - 12:00,2,Meet-the-Expert,How to interpret resistance patterns from antibiograms,,M0026,11:12,,"Diaz Lorena (Santiago, Chile)"
11 April 2025,ME008,11:00 - 12:00,3,Meet-the-Expert,Children are not just small adults: interactive paediatric cases,,M0027,11:00,,"Julie Toubiana (Paris, France)"
11 April 2025,ME008,11:00 - 12:00,3,Meet-the-Expert,Children are not just small adults: interactive paediatric cases,,M0028,11:12,,"Sanjay Patel (Winchester, United Kingdom)"
11 April 2025,ME009,11:00 - 12:00,5,Meet-the-Expert,How to practise WHO Guidelines for the prevention of bloodstream infections,,M0029,11:00,,"Kushlani Jayatilleke (Battaramulla, Sri Lanka)"
11 April 2025,ME009,11:00 - 12:00,5,Meet-the-Expert,How to practise WHO Guidelines for the prevention of bloodstream infections,,M0030,11:12,,"Walter Zingg (Zurich, Switzerland)"
11 April 2025,ME010,11:00 - 12:00,6,Meet-the-Expert,"Can we stop vertical transmission of syphilis, HIV and hepatitis? Regional",,M0031,11:00,,"Ecaterina Noroc (Chisinau, Moldova, Republic of)"
11 April 2025,ME010,11:00 - 12:00,6,Meet-the-Expert,"Can we stop vertical transmission of syphilis, HIV and hepatitis? Regional",,M0032,11:12,,"Fakhriddin Nizamov (Almaty, Kazakhstan)"
11 April 2025,ME011,11:00 - 12:00,8,Meet-the-Expert,Biofilm-related nontuberculous mycobacterial infections: ongoing nightmare,,M0033,11:00,,"Jaime Esteban (Madrid, Spain)"
11 April 2025,ME011,11:00 - 12:00,8,Meet-the-Expert,Biofilm-related nontuberculous mycobacterial infections: ongoing nightmare,,M0034,11:12,,"Philippe Morand (Paris, France)"
11 April 2025,ME012,11:00 - 12:00,9,Meet-the-Expert,How to understand infectious disease risks in changing climates,,M0035,11:00,,"Kimberly Fornace (Singapore, Singapore)"
11 April 2025,ME012,11:00 - 12:00,9,Meet-the-Expert,How to understand infectious disease risks in changing climates,,M0036,11:12,,"Rachel Lowe (Barcelona, Spain)"
11 April 2025,SP3,13:30 - 14:30,0,Special Session,Top five mistakes in Infection prevention and control,Maeve Doyle; Ireland); Barbara Juliane Holzknecht; Denmark); David Ong; Netherlands); Arjana Tambic Andrasevic; Croatia),P3,13:30,- 14:30,"Hall 0
Special Session
Top five mistakes in Infection prevention and control
Chairs Maeve Doyle (Waterford, Ireland)"
11 April 2025,ME013,13:30 - 14:30,2,Meet-the-Expert,Orthopaedic implant infections: new approaches for improved outcomes,,M0037,13:30,,"Marjan Wouthuyzen-Bakker (Groningen, 
Netherlands)"
11 April 2025,ME013,13:30 - 14:30,2,Meet-the-Expert,Orthopaedic implant infections: new approaches for improved outcomes,,M0038,13:42,,"Trisha Peel (Melbourne, Australia)"
11 April 2025,ME014,13:30 - 14:30,3,Meet-the-Expert,Timing of antimicrobials in sepsis and septic shock - the sooner the better?,,M0039,13:30,,"Laura Evans (Seattle, United States)"
11 April 2025,ME014,13:30 - 14:30,3,Meet-the-Expert,Timing of antimicrobials in sepsis and septic shock - the sooner the better?,,M0040,13:42,,"Evangelos Giamarellos-Bourboulis (Athens, Greece)"
11 April 2025,ME015,13:30 - 14:30,5,Meet-the-Expert,PrEP in Europe: Current gaps and solutions,,M0041,13:30,,"Teymur Noori (Stockholm, Sweden)"
11 April 2025,ME015,13:30 - 14:30,5,Meet-the-Expert,PrEP in Europe: Current gaps and solutions,,M0042,13:42,,"Milosz Parczewski (Szczecin, Poland)"
11 April 2025,ME016,13:30 - 14:30,6,Meet-the-Expert,Short regimens for treating drug-susceptible and drug-resistant tuberculosis:,,M0043,13:30,,"Daria Podlekareva (Copenhagen, Denmark)"
11 April 2025,ME016,13:30 - 14:30,6,Meet-the-Expert,Short regimens for treating drug-susceptible and drug-resistant tuberculosis:,,M0044,13:42,,"Raquel Duarte (Porto, Portugal)"
11 April 2025,ME017,13:30 - 14:30,8,Meet-the-Expert,How to navigate Risk Communication in Public Health,,M0045,13:30,,"Christina Rolfheim-Bye (Oslo, Norway)"
11 April 2025,ME017,13:30 - 14:30,8,Meet-the-Expert,How to navigate Risk Communication in Public Health,,M0046,13:42,,"Marius Gilbert (Brussels, Belgium)"
11 April 2025,ME018,13:30 - 14:30,9,Meet-the-Expert,Do we need antiviral stewardship in immunocompromised hosts? role of cell-,,M0047,13:30,,"Michelle Yong (Melbourne, Australia)"
11 April 2025,ME018,13:30 - 14:30,9,Meet-the-Expert,Do we need antiviral stewardship in immunocompromised hosts? role of cell-,,M0048,13:42,,"Genovefa Papanicolaou (New York, United States)"
11 April 2025,SP4,14:45 - 15:45,0,Special Session,Science Slam - How to Communicate Science with Clarity,Mary Horgan; Ireland); Jaroslav Hrabak; Czech Republic); Nina Khanna; Switzerland); Preeti Malani; United States); Emily G. Mcdonald; Canada); Joshua Nosanchuk; United States); Jesús Rodríguez-Baño; Spain),P4,14:45,- 15:45,"Hall 0
Special Session
Science Slam - How to Communicate Science with Clarity
Chairs Mary Horgan (Dublin, Ireland)"
11 April 2025,ME019,14:45 - 15:45,2,Meet-the-Expert,Healthcare-associated CNS infections,,M0049,14:45,,"Diederik Van De Beek (Amsterdam, Netherlands)"
11 April 2025,ME019,14:45 - 15:45,2,Meet-the-Expert,Healthcare-associated CNS infections,,M0050,14:57,,"Alexandra Mailles (Paris, France)"
11 April 2025,ME020,14:45 - 15:45,3,Meet-the-Expert,Translation of gut microbiome data to clinical practice: a guide for clinicians,,M0051,14:45,,"Aycan Gundogdu (Kayseri, Türkiye)"
11 April 2025,ME020,14:45 - 15:45,3,Meet-the-Expert,Translation of gut microbiome data to clinical practice: a guide for clinicians,,M0052,14:57,,"Niranjan Nagarajan (Singapore, Singapore)"
11 April 2025,ME021,14:45 - 15:45,5,Meet-the-Expert,"How to make sense out of guidelines and scientific evidenceM0053  14:45  Luigia Scudeller (Pavia, Italy)",,M0053,14:45,,"Luigia Scudeller (Pavia, Italy)"
11 April 2025,ME021,14:45 - 15:45,5,Meet-the-Expert,"How to make sense out of guidelines and scientific evidenceM0053  14:45  Luigia Scudeller (Pavia, Italy)",,M0054,14:57,,"Blin Nagavci (Gjakove, Kosovo)"
11 April 2025,ME022,14:45 - 15:45,6,Meet-the-Expert,Multidisciplinary management of bone and joint infections: is there a recipe,,M0055,14:45,,"Natividad Benito (Barcelona, Spain)"
11 April 2025,ME022,14:45 - 15:45,6,Meet-the-Expert,Multidisciplinary management of bone and joint infections: is there a recipe,,M0056,14:57,,"Tiziana Ascione (Naples, Italy)"
11 April 2025,ME023,14:45 - 15:45,8,Meet-the-Expert,How to manage and prevent travellers' diarrhoea,,M0057,14:45,,"Tinja Laaveri (Helsinki, Finland)"
11 April 2025,ME023,14:45 - 15:45,8,Meet-the-Expert,How to manage and prevent travellers' diarrhoea,,M0058,14:57,,"David Tribble (Bethesda, United States)"
11 April 2025,ME024,14:45 - 15:45,9,Meet-the-Expert,How to diagnose and treat infectious complications in critically ill patients,,M0059,14:45,,"Jordi Riera (Barcelona, Spain)"
11 April 2025,ME024,14:45 - 15:45,9,Meet-the-Expert,How to diagnose and treat infectious complications in critically ill patients,,M0060,14:57,,"Giacomo Grasselli (Besana In Brianza, Italy)"
11 April 2025,SP5,16:15 - 18:15,0,Special Session,Multidisciplinary approach to early sepsis management,Markus Bald; Germany); Aleksandra Davidovic; Germany); Charalambos Dokos; Germany),P5,16:15,- 18:15,"Hall 0
Special Session
Multidisciplinary approach to early sepsis management
Chairs Markus Bald (Lüdenscheid, Germany)"
11 April 2025,EW025,16:15 - 18:15,2,Educational Session,AMR surveillance: current challenges and new perspectives,,W0062,16:35,,"Networks for surveillance of AMR in animal 
pathogens Lucie Collineau (Lyon, France)"
11 April 2025,EW025,16:15 - 18:15,2,Educational Session,AMR surveillance: current challenges and new perspectives,,W0063,16:55,,"Transition to genomic-based methodology for 
surveillance and outbreak detection to effectively 
combact AMR Camilla Wiuff Coia (Copenhagen, 
Denmark)"
11 April 2025,EW025,16:15 - 18:15,2,Educational Session,AMR surveillance: current challenges and new perspectives,,M0043,13:30,,"Daria Podlekareva (Copenhagen, Denmark)"
11 April 2025,EW025,16:15 - 18:15,2,Educational Session,AMR surveillance: current challenges and new perspectives,,M0044,13:42,,"Raquel Duarte (Porto, Portugal)"
11 April 2025,ME017,13:30 - 14:30,8,Meet-the-Expert,How to navigate Risk Communication in Public Health,,M0045,13:30,,"Christina Rolfheim-Bye (Oslo, Norway)"
11 April 2025,ME017,13:30 - 14:30,8,Meet-the-Expert,How to navigate Risk Communication in Public Health,,M0046,13:42,,"Marius Gilbert (Brussels, Belgium)"
11 April 2025,ME018,13:30 - 14:30,9,Meet-the-Expert,Do we need antiviral stewardship in immunocompromised hosts? role of cell-,,M0047,13:30,,"Michelle Yong (Melbourne, Australia)"
11 April 2025,ME018,13:30 - 14:30,9,Meet-the-Expert,Do we need antiviral stewardship in immunocompromised hosts? role of cell-,,M0048,13:42,,"Genovefa Papanicolaou (New York, United States)"
11 April 2025,SP4,14:45 - 15:45,0,Special Session,Science Slam - How to Communicate Science with Clarity,Mary Horgan; Ireland); Jaroslav Hrabak; Czech Republic); Nina Khanna; Switzerland); Preeti Malani; United States); Emily G. Mcdonald; Canada); Joshua Nosanchuk; United States); Jesús Rodríguez-Baño; Spain),P4,14:45,- 15:45,"Hall 0
Special Session
Science Slam - How to Communicate Science with Clarity
Chairs Mary Horgan (Dublin, Ireland)"
11 April 2025,ME019,14:45 - 15:45,2,Meet-the-Expert,Healthcare-associated CNS infections,,M0049,14:45,,"Diederik Van De Beek (Amsterdam, Netherlands)"
11 April 2025,ME019,14:45 - 15:45,2,Meet-the-Expert,Healthcare-associated CNS infections,,M0050,14:57,,"Alexandra Mailles (Paris, France)"
11 April 2025,ME020,14:45 - 15:45,3,Meet-the-Expert,Translation of gut microbiome data to clinical practice: a guide for clinicians,,M0051,14:45,,"Aycan Gundogdu (Kayseri, Türkiye)"
11 April 2025,ME020,14:45 - 15:45,3,Meet-the-Expert,Translation of gut microbiome data to clinical practice: a guide for clinicians,,M0052,14:57,,"Niranjan Nagarajan (Singapore, Singapore)"
11 April 2025,ME021,14:45 - 15:45,5,Meet-the-Expert,"How to make sense out of guidelines and scientific evidenceM0053  14:45  Luigia Scudeller (Pavia, Italy)",,M0053,14:45,,"Luigia Scudeller (Pavia, Italy)"
11 April 2025,ME021,14:45 - 15:45,5,Meet-the-Expert,"How to make sense out of guidelines and scientific evidenceM0053  14:45  Luigia Scudeller (Pavia, Italy)",,M0054,14:57,,"Blin Nagavci (Gjakove, Kosovo)"
11 April 2025,ME022,14:45 - 15:45,6,Meet-the-Expert,Multidisciplinary management of bone and joint infections: is there a recipe,,M0055,14:45,,"Natividad Benito (Barcelona, Spain)"
11 April 2025,ME022,14:45 - 15:45,6,Meet-the-Expert,Multidisciplinary management of bone and joint infections: is there a recipe,,M0056,14:57,,"Tiziana Ascione (Naples, Italy)"
11 April 2025,ME023,14:45 - 15:45,8,Meet-the-Expert,How to manage and prevent travellers' diarrhoea,,M0057,14:45,,"Tinja Laaveri (Helsinki, Finland)"
11 April 2025,ME023,14:45 - 15:45,8,Meet-the-Expert,How to manage and prevent travellers' diarrhoea,,M0058,14:57,,"David Tribble (Bethesda, United States)"
11 April 2025,ME024,14:45 - 15:45,9,Meet-the-Expert,How to diagnose and treat infectious complications in critically ill patients,,M0059,14:45,,"Jordi Riera (Barcelona, Spain)"
11 April 2025,ME024,14:45 - 15:45,9,Meet-the-Expert,How to diagnose and treat infectious complications in critically ill patients,,M0060,14:57,,"Giacomo Grasselli (Besana In Brianza, Italy)"
11 April 2025,SP5,16:15 - 18:15,0,Special Session,Multidisciplinary approach to early sepsis management,Markus Bald; Germany); Aleksandra Davidovic; Germany); Charalambos Dokos; Germany),P5,16:15,- 18:15,"Hall 0
Special Session
Multidisciplinary approach to early sepsis management
Chairs Markus Bald (Lüdenscheid, Germany)"
