id,session_id,session_type,session_title,session_hall,session_date,session_time_start,session_time_end,session_timezone,session_category,session_description,session_organized_by,session_chairs,session_presentations
11,518,ePoster Flash Session,Effective microbiology for the management of sepsis,,,,,CET,02. Bacterial infection & disease,,,"Maurizio SANGUINETTI, ItalyChair","Molecular epidemiology of Klebsiella bloodstream infection-causing isolates across England using Nanopore longread-only sequencing: An interim analysis of the NEKSUS study [Dorottya NAGY, United Kingdom] || Investigating seasonality of antibiotic resistance associated with E. coli and Klebsiella pneumoniae bloodstream infections [Sam LIPWORTH, United Kingdom] || Sensitivity of a host-protein test for microbiologically confirmed bacterial infections [Roy NAVON, Israel] || Comparative genomics of Klebsiella pneumoniae from gut colonisation and bloodstream infections reveal novel genetic associations [Marit HETLAND, Norway] || Conventional microbiology vs. conventional microbiology + nucleic acid-based multiplex real-time polymerase chain reaction (MPCR) test kit in septic shock: results of a matched cohort study [Gamze SANLIDAG ISBILEN, Türkiye] || Contribution of Escherichia coli microbiological factors to the presentation as sepsis/septic shock in patients with bacteraemia: a matched case-control study [Natalia MALDONADO, Spain] || Simplified and rapid bacterial identification with antimicrobial resistance detection in bacteremia by on-chip multiplexed LAMP. [Capucine TREILLE, France] || Community-onset bloodstream infection among people with opioid use disorders: A twenty-year population-based cohort study in Queensland, Australia. [Kevin LAUPLAND, Australia] || Microbiological diagnosis tools for primary and secondary abdominal aortic infections requiring surgery [Sarah SOUEGES, France]"
12,519,ePoster Flash Session,A never-ending evolution of antimicrobial resistance,,,,,CET,03. Bacterial susceptibility & resistance,,,"Antonio OLIVER, SpainChair","Gfa, a novel integron-born fosfomycin resistance mechanism [Nicolas KIEFFER, Spain] || Regulons of RamA, RarA and SoxS mediated tigecycline resistance and oxidative stress among in vitro tigecycline resistant evolution trajectory of Klebsiella pneumoniae. [Xiaojuan WANG, China] || Assessing the impact of altered penicillin binding proteins on susceptibility to novel antimicrobials among clinical isolates of carbapenemase-producing Escherichia col [Chaitanya TELLAPRAGADA, Sweden] || Enterococcus faecalis penicillin-binding protein-4 sequence differences based on penicillin minimum inhibitory concentration [Olivia FUNK, United States] || Uncommon genomic rearrangements drive vancomycin resistance in vanB-positive Enterococcus faecium [Kyriaki XANTHOPOULOU, Germany] || Heteroresistance in Enterococcus faecalis: prevalence and mechanistic insights across clinically relevant antibiotics [Sheida HEIDARIAN, Sweden] || Side effects of rifampicin resistance: transcriptome modulation by rpoB mutations in Staphylococcus aureus [Mélanie ROCH, Switzerland] || Novel continuous experimental evolution methodology revealing rapid resistance development and cross-resistance [Thaddäus ECHELMEYER, Germany]"
13,520,ePoster Flash Session,Vaccination uptake-challenges and opportunities,,,,,CET,11. Public health & vaccines,,,"Joanne M. LANGLEY, CanadaChair","Electronic nudges to increase influenza vaccination uptake among patients with heart failure: insights from 3 nationwide randomized trials enrolling >2 million patients [Niklas Dyrby JOHANSEN, Denmark] || Psychological Predictors of Influenza Vaccination Intent Among Healthcare Workers in Bulgaria [Petar VELIKOV, Bulgaria] || Determinants of COVID-19 vaccine uptake in patients with hematologic malignancies: a nationwide cohort study [Quincy HOFSINK, Netherlands] || Inequality in vaccine uptake among children in Denmark in the national childhood vaccination programme [Anne Christine Mariager BRESCHEL, Denmark] || Prevalence and associated factors of parental refusal rates for routine immunisation: A cross-sectional study in Peshawar, Khyber Pakhtunkhwa, Pakistan-2024 [Muhammad HAKIM, Pakistan] || Shingles Prevalence, Vaccine Awareness, and Acceptance in People Living with HIV [Dilara YAMAN, Türkiye] || Tick-borne encephalitis vaccine uptake, effectiveness, and impact in Sweden, 2018−2022 [Andreas PALMBORG, Sweden] || Monkeypox (mpox) vaccination willingness and determinants among people living with HIV (PLWH) in turkey [Cemre BOSNAK, Türkiye]"
14,521,ePoster Flash Session,Viruses crossing the blood-brain barrier,,,,,CET,01. Viral infection & disease (incl COVID-19),,,,"Clinical characteristics and outcome of Herpes simplex virus type 1 and varicella zoster virus encephalitis: A prospective population-based cohort study [Laerke DUERLUND, Denmark] || Arbovirus associated neurological disease in adults and children in Brazil: a multicentre case-control study [Suzannah LANT, United Kingdom] || Challenges in managing Central nervous system infections: Battling the Unknown Enemy, West Nile virus vs unknown etiology [Cosmin-Alexandru MARIN, Romania] || Spatial and temporal profiling of the immune responses induced by Japanese encephalitis virus in a mouse model [Zhihua OU, China] || Intrathecal immunoglobulin synthesis in tick-borne encephalitis [Sambor S. GRYGORCZUK, Poland] || B and T cell responses to Tick-borne Encephalitis Virus [Nuria MAYOLA DANES, Sweden] || Enterovirus infections in pediatric central nervous system (CNS) diseases: molecular epidemiology and neuroimaging insights [Deepanjli SHARMA, India] || Neuroimaging findings and their correlation with autopsy findings: Prospective study on Rabies encephalitis [Madhav MOHATA, India] || Toxoplasma gondii IgG Screening and Central Nervous System Complications among People with HIV in the Combination Antiretroviral Therapy Era [Taohung OU, Taiwan, China]"
15,522,ePoster Flash Session,AMS around the world: know your data!,,,,,CET,"05. New antibacterial agents, PK/PD & Stewardship",,,"Eoghan DE BARRA, IrelandChair","Duration of antibiotic treatment for respiratory tract infections in primary care. [Carl LLOR, Spain] || Antibiotic prescribing for common acute infections in Pakistan - an analysis using IQVIA prescriber healthcare surveys [Nam NGUYEN, United Kingdom] || Antibiotic prescribing for common acute infections in Egypt - an analysis using IQVIA prescriber healthcare surveys [Nam NGUYEN, United Kingdom] || Population based analysis of the impact of Japan's AMR national action plan and the COVID-19 pandemic on antimicrobial prescription [Ryuji KOIZUMI, Japan] || Quality of antibiotic prescribing in Portuguese hospitals: a snapshot of the first National Antimicrobial Prescribing Survey. [Carlos PALOS, Portugal] || Evaluating the impact on 28-day mortality of different empiric AWaRe antibiotic treatment strategies for hospital-acquired infections across different hospital settings. [Cherry LIM, United Kingdom] || Update on WHO's Global antibiotic use surveillance system (GLASS-AMU) [Benedikt HUTTNER, Switzerland] || Harmonisation trajectory of Global-Point Prevalence Survey (Global-PPS) and WHO-PPS [Ann VERSPORTEN, Belgium] || Implementation of prospective audit and feedback strategy in intensive care units: Analysis of antimicrobial prescription patterns in a Guatemalan tertiary care hospital [Nancy SANDOVAL, Guatemala]"
16,523,ePoster Flash Session,Current treatment options for invasive fungal infections,,,,,CET,06. Fungal infection & disease,,,"Andreas H. GROLL, GermanyChair","The paediatric European Confederation of Clinical Mycology (ECMM) Quality (paed-EQUAL) Score for the management of candidaemia in children and neonates [Zoi Dorothea PANA, Cyprus] || Prevalence rate, species distribution and antifungal susceptibility of bloodstream infections caused by rare yeasts of the Saccharomycetales order documented in 28 Brazilian medical centers [Carolina PALAMIN BUONAFINE, Brazil] || Rezafungin showed high in vitro activity and very low resistance rate against a collection of yeasts causing fungaemia in patients admitted to a tertiary hospital in Madrid from 2014 to 2024 [Jesus GUINEA, Spain] || Posaconazole Drug-Drug Interaction Potential is Similar Across Bodyweight [Rebecca E. WRISHKO, United States] || Phase 2, open-label, non-comparative clinical trial evaluating the safety and efficacy of posaconazole in paediatric patients 2 to <18 years old with invasive aspergillosis [Hyoung Jin KANG, Korea, Republic Of] || Activity of manogepix against a worldwide collection of mould isolates from 2023 [Marisa WINKLER, United States] || Candida auris displays an inoculum effect with multiple antifungal drug classes [Ronen BEN-AMI, Israel] || In vitro olorofim activity against Aspergillus spp clinical isolates collected as part as two national surveys on azole resistance conducted in Spain (ASPEIN II and III) [Jesus GUINEA, Spain]"
17,524,ePoster Flash Session,"Surgical site infections: epidemiology, risk factors, and prevention strategies",,,,,CET,"08. Healthcare-associated infections, infection prevention & control",,,"Trisha PEEL, AustraliaChair","Incidence of Surgical Site Infections (SSIs) from the automated patient-based surveillance system, SPICMI, France [Pascal ASTAGNEAU, France] || Beta-lactam versus non-beta-lactam antimicrobial prophylaxis and its association with the surgical site infection rate, a nationwide cohort study with 348 793 patients [Selina LARGIADÈR, Switzerland] || Cutibacterium species in Neurosurgical Infections: Not Such a ""Cute"" Pathogen After All [James DONNELLY, Ireland] || The polymicrobial nature of wound infections in an emergency orthopaedic ward in Northern Nigeria - implications for treatment and patient outcome [Kate COOK, United Kingdom] || Efficacy of Octenidine Dihydrochloride Versus Chlorhexidine Gluconate Solutions in Reducing Surgical-Site Infections in Total Hip and Knee Arthroplasty: A Comparative Analysis [Artsiom ABIALEVICH, Israel] || Impact on rates of surgical site infection of requiring pre-authorization of surgical antibiotic prophylaxis choice and post-operative antibiotic doses [Carmenchu Marie VILLAVICENCIO, Philippines]"
18,525,ePoster Flash Session,Genomics in pathogen surveillance,,,,,CET,04. Diagnostic microbiology,,,"Vítor BORGES, PortugalChair","Genomic Surveillance of Invasive Group A Streptococcus in Argentina's 2023 Epidemic: Unveiling Hypervirulent emm1 Lineages and Pediatric emm12 Burden [Lucia CIPOLLA, Argentina] || Understanding the population structure of Moraxella catarrhalis using core-genome multilocus sequence typing [Iman YASSINE, United Kingdom] || Impact of the COVID-19 pandemic on the Streptococcus pyogenes clones causing adult invasive infections [Mario RAMIREZ, Portugal] || Unveiling the Hidden Complexity of Providencia: Genomic Insights into Species Reclassification and Antibiotic Resistance [Xu DONG, China] || Genomic description of outbreak of VIM-1 carrying Enterobacter in Switzerland suggests plasmid transmission between sequence types [Helena SETH-SMITH, Switzerland] || Genomic epidemiology of Klebsiella pneumoniae bloodstream infections in a german tertiary centre: increased virulence in carbapenem-resistant strains [Leonard KNEGENDORF, Germany] || Phylogenetic mixing and undetected circulation of multiple Candida auris lineages following recognition of imported cases in Italy [Vincenzo DI PILATO, Italy] || Using Long-Read Sequencing for Core Plasmid Multilocus Sequence Typing to Investigate Plasmid Relationships Among Bacterial Species in German Hospital Wastewater [Anurag Kumar BARI, Netherlands] || Screening for rectal colonization with multidrug-resistant pathogens: usage of rapid metagenomic long-read technology [Srinithi PURUSHOTHAMAN, Switzerland]"
19,526,ePoster Flash Session,Heads up! CNS infections,,,,,CET,13. Case reports and case series (n less than 10),,,"Jacob BODILSEN, DenmarkChair","Central Nervous System Involvement by Mycobacterium avium Complex in Advanced HIV: A Rare and Underdiagnosed Challenge [Estefania SIENRA IRACHETA, Mexico] || Acute disseminated encephalomyelitis following bacterial meningoencephalitis – Two Case reports & Review of Literature [Megha PRIYADARSHI, India] || Streptococcus equi Subspecies zooepidemicus Endocarditis and Meningitis in a 62-Year-Old Patient: A Case Report and Literature review [Davide CHEMELLO, Italy] || Breaking barriers: meropenem-vaborbactam as a game-changer for KPC central nervous system infections [Francesca PRATAVIERA, Italy] || Multidrug-Resistant Klebsiella pneumoniae Meningitis in the Absence of Intracranial Devices: A Case Report [Mariana CHUMBITA, Spain] || Triple Threat: Sequential Meningitis Infections in an Immunosuppressed Patient with Morganella morganii, Acinetobacter baumannii, and Vancomycin-resistant Enterococcus faecium [Yasemin ÇAKIR KIYMAZ, Türkiye] || Invasive pulmonary Arthrographis kalrae infection with cerebral abscesses in an immunocompromised child [Beatrice WINKEL, Netherlands] || Treatment of herpes simplex encephalitis with the helicase-primase inhibitor pritelivir in an immunocompromised patient [Alexander BIRKMANN, Germany] || A case of influenza A (H1N1) encephalitis: Rare neurological implication in a healthy adult [Naresh Kumar MIDHA, India]"
20,527,ePoster Flash Session,Novel approaches to antiviral therapy,,,,,CET,01. Viral infection & disease (incl COVID-19),,,"Pinyo RATTANAUMPAWAN, ThailandChair","Obeldesivir exhibits broad anti-RSV activity and a high barrier to resistance in vitro and is efficacious in a non-human primate challenge model of RSV infection [Jared PITTS, United States] || EDP-323, a first-in-class, oral, RSV L-protein inhibitor reduces disease severity (respiratory mucus production) and accelerates viral clearance in a human viral challenge study [John DEVINCENZO, United States] || A Combined In Silico and In Vitro Pipeline for Optimizing Nanobodies Targeting Surface Proteins of Pathogens: Applications to SARS-CoV-2, WNV, and Influenza A Virus [Ciro Leonardo PIERRI, Italy] || Bemnifosbuvir and Remdesivir exhibit potent antiviral activity against tick-borne encephalitis virus in vitro [Denis GRANDGIRARD, Switzerland] || Combinations of antiviral drugs demonstrating synergistic inhibition of multiple respiratory RNA viruses [Samuel ELLIS, United Kingdom] || The safety and pharmacokinetics of ABI-5366, a novel, oral, long-acting HSV helicase-primase inhibitor: Interim results from a Phase 1a/1b study in healthy participants [Anuj GAGGAR, United States] || Efficacy of ganciclovir against CMV infection is dependent on treatment initiation time [Lalitya SUDARSONO, Netherlands] || Efficacy of molnupiravir and baloxavir against influenza A H1N1 infection in vitro and in vivo [Danlei LIU, Hong-kong Sar, China] || Human defensin derived peptide showing broad antiviral activity against human adenoviruses [Xiankun WANG, Hong-kong Sar, China]"
21,528,ePoster Flash Session,New frontiers in parasitic disease and migrant health research,,,,,CET,"07. Parasitic diseases, travel medicine & migrant health",,,,"Targeting metabolic bioenergetics: the ‘Achilles' heel' of Leishmania [Deblina SARKAR, India] || Leishmaniasis in Southern Alicante (Spain): what is the new patient profile? [Mª Dolores HERNÁNDEZ RABADÁN, Spain] || Schistosoma haematobium infection is associated with oncogenic gene expression in cervical mucosa, with enhanced effects following treatment [Anna MERTELSMANN, Switzerland] || Associations between water and sanitation service, risk of intestinal schistosomiasis, infection intensity, and liver fibrosis in selected households living near Lake Albert: a descriptive cross-sectional study? [Germain LAM, United Kingdom] || Schistosomiasis detected by Screening of sub-Saharan African Unaccompanied Minor Refugees in Berlin between 2023 and 2024 [Gabriela EQUIHUA MARTINEZ, Germany] || NADPH oxidase of the mosquitoes and the antioxidant genes repertoire of the bacteria coordinate mosquito-bacteria interaction in midgut [Baolin SONG, Hong-kong Sar, China] || Molecular detection and sequencing of the genes encoding the predicted enzymes; Amidase, NADH ubiquinone oxidoreductase, and sodium neurotransmitter symporter in Onchocerca volvulus [Anabel ACHEAMPONG, Ghana] || Tuberculosis outcomes among international migrants living in Europe compared to the non-migrant population: a systematic review and meta-analysis [Giacomo GUIDO, Italy]"
22,529,ePoster Flash Session,Contemporary diagnostic approaches for fungal infections,,,,,CET,06. Fungal infection & disease,,,"Ilse D. JACOBSEN, GermanyChair","Evaluation of persistence of C. auris colonization in a cohort of patients discharged from a C. auris endemic area [Martina BAVASTRO, Italy] || A pilot study of digital retinal photography (DRP) and tele-ophthalmology of patients with candidemia. [Cornelius CLANCY, United States] || Epidemiology and diagnosis of Pneumocystis pneumonia : a 11 years-surveillance in France [Alexandre ALANIO, France] || Chronic pulmonary aspergillosis coexisting with pulmonary cystic echinococcosis: a global systematic review [Aayush ADHIKARI, Nepal] || Implementation and performance of a universal Mucorales PCR assay for diagnosis of mucormycosis [Allison HAAS, United States] || Blood cultures (BCs) contain populations of genetically diverse Candida strains that may differ in antifungal resistance and tolerance [Cornelius CLANCY, United States] || Clinical validation of a urinary antigen test as an aid to diagnose invasive aspergillosis in hematology patients [Yuri VANBIERVLIET, Belgium] || Genomic epidemiology of Greek Candida auris clinical isolates [Maria SIOPI, Greece]"
