id,sessionId,parentSessionId,title,location,date,timeRange,timezone,sessionType,category,chairName,chairCountry,presenterName,presenterCountry
565,EF036,NULL,"Heads up! CNS infections","Arena 3 |","17:15 - 18:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","13. Case reports and case series (n less than 10)","Jacob BODILSEN",Denmark,NULL,NULL
576,EF039,NULL,"Novel approaches to antiviral therapy","Arena 1 |","08:30 - 09:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","01. Viral infection & disease (incl COVID-19)","Pinyo RATTANAUMPAWAN",Thailand,NULL,NULL
587,EF040,NULL,"New frontiers in parasitic disease and migrant health research","Arena 3 |","08:30 - 09:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","07. Parasitic diseases, travel medicine & migrant health",NULL,NULL,NULL,NULL
596,EF041,NULL,"Contemporary diagnostic approaches for fungal infections","Arena 2 |","09:30 - 10:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","06. Fungal infection & disease","Ilse D. JACOBSEN",Germany,NULL,NULL
606,EF042,NULL,"Prosthetic and device-associated infections","Arena 4 |","09:30 - 10:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","13. Case reports and case series (n less than 10)","Marjan WOUTHUYZEN-BAKKER",Netherlands,NULL,NULL
617,EF049,NULL,"Sometimes it's hard to be a woman","Arena 2 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","01. Viral infection & disease (incl COVID-19)","Debora KONOPNICKI",Belgium,NULL,NULL
627,EF050,NULL,"Expanding MALDI-TOF applications","Arena 3 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Belen RODRIGUEZ-SANCHEZ",Spain,NULL,NULL
638,EF051,NULL,"The enemy of my enemy: From jumbo phages to cocktails for difficult to treat infections","Arena 4 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","05. New antibacterial agents, PK/PD & Stewardship","Paul G. HIGGINS",Germany,NULL,NULL
649,EF054,NULL,"Beware the sink! Pathogen reservoirs in drains and waste water","Arena 3 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","08. Healthcare-associated infections, infection prevention & control","Stephan Juergen HARBARTH",Switzerland,NULL,NULL
659,EF055,NULL,"The cutting edge in tuberculosis","Arena 4 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","02. Bacterial infection & disease","Graeme Ayton MEINTJES","South Africa",NULL,NULL
670,EF059,NULL,"Bacterial infections in the post pandemic era","Arena 2 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","02. Bacterial infection & disease","Özlem Kurt AZAP",Türkiye,NULL,NULL
681,EF060,NULL,"AMR in the community","Arena 3 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Camilla WIUFF COIA",Denmark,NULL,NULL
692,EF061,NULL,"Infections in the immunocompromised: a multifaceted overview","Arena 4 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","10. Immune compromise & transplant ID","Effrossyni GKRANIA-KLOTSAS","United Kingdom",NULL,NULL
703,EF065,NULL,"The Antibiotic bakery: Novel compounds in the pipeline","Arena 1 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","05. New antibacterial agents, PK/PD & Stewardship","Susanne HAEUSSLER",Germany,NULL,NULL
713,EF066,NULL,"Modelling infectious disease burden and impact of vaccination","Arena 2 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","11. Public health & vaccines","David FISMAN",Canada,NULL,NULL
724,EF067,NULL,"Blood parasitology at its best","Arena 3 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","13. Case reports and case series (n less than 10)","Miriam José ÁLVAREZ-MARTÍNEZ",Spain,NULL,NULL
735,EF068,NULL,"A global perspective on antimicrobial resistance surveillance","Arena 4 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Mirfin MPUNDU",Zambia,NULL,NULL
746,EF074,NULL,"New methods for rapid pathogen detection and typing","Arena 1 |","17:30 - 18:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Sylvain BRISSE",France,NULL,NULL
757,EF075,NULL,"Healthcare (workers') safety revisited","Arena 2 |","17:30 - 18:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","08. Healthcare-associated infections, infection prevention & control","Daniel DIEKEMA","United States",NULL,NULL
768,EF076,NULL,"Knowing me, knowing you: behaviour influencing AMS","Arena 3 |","17:30 - 18:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","05. New antibacterial agents, PK/PD & Stewardship","Elena CARRARA",Italy,NULL,NULL
779,EF077,NULL,"Viral aphrodites","Arena 4 |","17:30 - 18:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","01. Viral infection & disease (incl COVID-19)","Rémi CHARREL",France,NULL,NULL
790,EF079,NULL,"AMS around the world: what we can learn from each other","Arena 1 |","08:30 - 09:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","05. New antibacterial agents, PK/PD & Stewardship","Benedikt HUTTNER",Switzerland,NULL,NULL
801,EF080,NULL,"Acinetobacter baumannii, still a strong knight to be knocked","Arena 3 |","08:30 - 09:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Parikshit PRAYAG",India,NULL,NULL
812,EF081,NULL,"Clinical features and outcome of invasive fungal infections","Arena 2 |","09:30 - 10:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","06. Fungal infection & disease","Marcus DE MELO TEIXEIRA",Brazil,NULL,NULL
823,EF089,NULL,"Emerging Infectious Diseases, Zoonoses and Outbreaks","Arena 2 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","11. Public health & vaccines",NULL,NULL,NULL,NULL
833,EF090,NULL,"Addressing the need for speed: advances in point-of-care testing","Arena 3 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Jennifer DIEN BARD","United States",NULL,NULL
844,EF093,NULL,"Real world experience with modern HIV treatment: the art of ART","Arena 2 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","01. Viral infection & disease (incl COVID-19)",NULL,NULL,NULL,NULL
854,EF094,NULL,"Speed, convenience and performance of virus diagnostic methods","Arena 3 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Hans H. HIRSCH",Switzerland,NULL,NULL
865,EF099,NULL,"Infection Prevention in Action: Innovations, Insights, and Global Intervention","Arena 1 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","08. Healthcare-associated infections, infection prevention & control","Allison MCGEER",Canada,NULL,NULL
875,EF100,NULL,"Cefiderocol: an efficient Trojan horse?","Arena 2 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Anna SRAMKOVA","Czech Republic",NULL,NULL
886,EF101,NULL,"Immunology of bacterial pathogens","Arena 3 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","11. Public health & vaccines",NULL,NULL,NULL,NULL
896,EF104,NULL,"Cutting-edge technologies to improve viral diagnostics","Arena 1 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","01. Viral infection & disease (incl COVID-19)","Patricia ALVAREZ",Brazil,NULL,NULL
907,EF105,NULL,"New data in non-tuberculous mycobacterial disease","Arena 2 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","02. Bacterial infection & disease","Lorenzo GUGLIELMETTI",France,NULL,NULL
918,EF106,NULL,"The ABC (allergy, bloodstream infections and clinical decision support) in AMS","Arena 3 |","16:15 - 17:15CETCMEePoster Flash Session",,CET,"ePoster Flash Session","05. New antibacterial agents, PK/PD & Stewardship","Céline PULCINI",France,NULL,NULL
929,EF110,NULL,"Advancing diagnostics and treatment of endocarditis","Arena 1 |","17:30 - 18:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","02. Bacterial infection & disease","Benoît GUERY",Switzerland,NULL,NULL
940,EF111,NULL,"Don't blink: STIs are everywhere","Arena 2 |","17:30 - 18:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","13. Case reports and case series (n less than 10)","Mathew BEALE","United Kingdom",NULL,NULL
949,EF112,NULL,"Clinical considerations in resistant organisms","Arena 3 |","17:30 - 18:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Divya DEODHAR",Oman,NULL,NULL
960,EW001,NULL,"Surgical site infections: principles and practice in the era of multidrug resistance","Hall 2 |","08:30 - 10:30CETEducational Session",,CET,"Educational Session","08. Healthcare-associated infections, infection prevention & control","Gabriel BIRGAND",France,NULL,NULL
966,EW002,NULL,"Demystifying pharmacokinetics and population pharmacokinetics: a toolkit for non-experts","Hall 3 |","08:30 - 10:30CETEducational Session",,CET,"Educational Session","05. New antibacterial agents, PK/PD & Stewardship","Shampa DAS","United Kingdom",NULL,NULL
972,EW003,NULL,"Challenges in identification and relevance of slow-growing pathogens","Hall 5 |","08:30 - 10:30CETEducational Session",,CET,"Educational Session","04. Diagnostic microbiology","Kerrie DAVIES","United Kingdom",NULL,NULL
978,EW004,NULL,"A hard nut to crack in HIV","Hall 6 |","08:30 - 10:30CETEducational Session",,CET,"Educational Session","01. Viral infection & disease (incl COVID-19)","Yoav KEYNAN",Canada,NULL,NULL
984,EW005,NULL,"Diagnostic parasitology in the XXIst century: is microscopy "+" still useful?","Hall 8 |","08:30 - 10:30CETEducational Session",,CET,"Educational Session","07. Parasitic diseases, travel medicine & migrant health","Miriam José ÁLVAREZ-MARTÍNEZ",Spain,NULL,NULL
990,EW006,NULL,"Vaccine hesitancy: from issues to solutions through developing communication skills","Hall 9 |","08:30 - 10:30CETEducational Session",,CET,"Educational Session","11. Public health & vaccines","Monia CHEMAIS",Belgium,NULL,NULL
996,EW025,NULL,"AMR surveillance: current challenges and new perspectives","Hall 2 |","16:15 - 18:15CETEducational Session",,CET,"Educational Session","03. Bacterial susceptibility & resistance","Tomislav MESTROVIC",Croatia,NULL,NULL
1002,EW026,NULL,"New insights into antifungal agents and resistance","Hall 3 |","16:15 - 18:15CETEducational Session",,CET,"Educational Session","06. Fungal infection & disease","Anuradha CHOWDHARY",India,NULL,NULL
1008,EW027,NULL,"Going Viral! Phage Therapy Clinical rounds","Hall 5 |","16:15 - 18:15CETEducational Session",,CET,"Educational Session","05. New antibacterial agents, PK/PD & Stewardship","Gregory GERMAN",Canada,NULL,NULL
1014,EW028,NULL,"Addressing infection challenges in immunocompromised patients: a case-based exploration","Hall 6 |","16:15 - 18:15CETEducational Session",,CET,"Educational Session","10. Immune compromise & transplant ID","Maddalena GIANNELLA",Italy,NULL,NULL
1020,EW029,NULL,"Impact of diabetes on infectious diseases: what should we know?","Hall 8 |","16:15 - 18:15CETEducational Session",,CET,"Educational Session","09. Fundamental microbiology, pathogenesis & immunity to infection","Mark G. J. DE BOER",Netherlands,NULL,NULL
1026,EW030,NULL,"Primer on infection prevention and control: the crucial support by clinical microbiology","Hall 9 |","16:15 - 18:15CETEducational Session",,CET,"Educational Session","08. Healthcare-associated infections, infection prevention & control","Nico Tom MUTTERS",Germany,NULL,NULL
1032,EW038,NULL,"EUCAST Educational Workshop","Hall 4 |","08:30 - 11:30CETCMEEducational Session",,CET,"Educational Session","03. Bacterial susceptibility & resistance","Marlene AMARA",France,NULL,NULL
1039,EW039,NULL,"Are urinary tract infections still the same?","Hall 2 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","02. Bacterial infection & disease","Suzanne GEERLINGS",Netherlands,NULL,NULL
1045,EW040,NULL,"OPAT: from aged wine to new vintage","Hall 3 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","05. New antibacterial agents, PK/PD & Stewardship","Birgit KOCH",Netherlands,NULL,NULL
1051,EW041,NULL,"RSV infections: diagnosis, surveillance and treatment in the advent of vaccines","Hall 13 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","01. Viral infection & disease (incl COVID-19)","Monika REDLBERGER-FRITZ",Austria,NULL,NULL
1057,EW042,NULL,"Traumatic wound infections: diagnosis and treatment options","Hall 14 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","02. Bacterial infection & disease","Amparo FERNÁNDEZ-RODRÍGUEZ",Spain,NULL,NULL
1063,EW070,NULL,"Malaria: when the drugs don't work Management of treatment failure in non-endemic countries","Hall 3 |","16:15 - 18:15CETCMEEducational Session",,CET,"Educational Session","07. Parasitic diseases, travel medicine & migrant health","Laura NABARRO","United Kingdom",NULL,NULL
1069,EW071,NULL,"The rare art of writing scientific articles: from conception to submission","Hall 15 |","16:15 - 18:15CETCMEEducational Session",,CET,"Educational Session","12. Professional and educational affairs","Marlieke DE KRAKER",Switzerland,NULL,NULL
1075,EW077,NULL,"New tools in acute bacterial infections and sepsis: from machine learning to precision medicine","Hall 2 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","02. Bacterial infection & disease","Benjamin MCFADDEN",Australia,NULL,NULL
1081,EW078,NULL,"Implementing metagenomics in my lab and mistakes to avoid","Hall 4 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","04. Diagnostic microbiology","Hege Vangstein AAMOT",Norway,NULL,NULL
1087,EW079,NULL,"New guidelines for management of brain infections","Hall 11 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","02. Bacterial infection & disease","Jacob BODILSEN",Denmark,NULL,NULL
1093,EW096,NULL,"Tools for successful development as a medical educator","Hall 15 |","13:30 - 15:30CETCMEEducational Session",,CET,"Educational Session","12. Professional and educational affairs","Giorgia CARUANA",Switzerland,NULL,NULL
1099,EW109,NULL,"Infections in cancer patients: tips for daily practice","Hall 2 |","16:15 - 18:15CETCMEEducational Session",,CET,"Educational Session","10. Immune compromise & transplant ID","José MOLINA GIL-BERMEJO",Spain,NULL,NULL
1105,EW118,NULL,"How can we infer and track plasmid outbreaks?","Hall 2 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","04. Diagnostic microbiology","Alessandra CARATTOLI",Italy,NULL,NULL
1111,EW119,NULL,"This bacterium might harbour AmpC, what should I do?!","Hall 11 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","03. Bacterial susceptibility & resistance","Sören G. GATERMANN",Germany,NULL,NULL
1117,EW135,NULL,"Transforming your research idea into an appropriate study design","Hall 3 |","13:30 - 15:30CETCMEEducational Session",,CET,"Educational Session","12. Professional and educational affairs","Casandra BULESCU",Romania,NULL,NULL
1123,EW146,NULL,"How to detect, manage and communicate hospital outbreaks","Hall 13 |","16:15 - 18:15CETCMEEducational Session",,CET,"Educational Session","08. Healthcare-associated infections, infection prevention & control","Margaret IP","Hong-kong Sar China",NULL,NULL
1129,FIPL1,NULL,"Fireplace: Asia: An AMR Hot Zone","Fireplace area |","12:15 - 13:15CETFireplace Session",,CET,"Fireplace Session","03. Bacterial susceptibility & resistance","Giulia DE ANGELIS",Italy,NULL,NULL
1132,FIPL2,NULL,"Fireplace: Defending against dengue: global epidemiology and strategies for prevention and control","Fireplace area |","16:00 - 17:00CETFireplace Session",,CET,"Fireplace Session","07. Parasitic diseases, travel medicine & migrant health","Anu KANTELE",Finland,NULL,NULL
1135,FIPL3,NULL,"Fireplace: Infections after Solid organ transplantation: past, present and future","Fireplace area |","10:45 - 11:45CETFireplace Session",,CET,"Fireplace Session","10. Immune compromise & transplant ID","Nina KHANNA",Switzerland,NULL,NULL
1138,FIPL4,NULL,"Fireplace: The new frontiers in antimicrobial stewardship","Fireplace area |","12:15 - 13:15CETFireplace Session",,CET,"Fireplace Session","05. New antibacterial agents, PK/PD & Stewardship","Jose Ramon PANO-PARDO",Spain,NULL,NULL
1141,FIPL5,NULL,"Fireplace: Tuberculosis: where are we now and where should we be","Fireplace area |","17:30 - 18:30CETFireplace Session",,CET,"Fireplace Session","02. Bacterial infection & disease","Jon S. FRIEDLAND","United Kingdom",NULL,NULL
1144,FIPL6,NULL,"Fireplace: HIV: from needle parks to injectables","Fireplace area |","12:15 - 13:15CETFireplace Session",,CET,"Fireplace Session","01. Viral infection & disease (incl COVID-19)","Mary HORGAN",Ireland,NULL,NULL
1147,FIPL7,NULL,"Fireplace: Staphylococcus aureus host-microbe interaction: ecology, disease, and vaccine development","Fireplace area |","16:00 - 17:00CETFireplace Session",,CET,"Fireplace Session","09. Fundamental microbiology, pathogenesis & immunity to infection","Werner RUPPITSCH",Austria,NULL,NULL
1150,FO050,NULL,"HIV: a global ethical Conundrum","Arena 1 |","11:00 - 12:00CETCMEOpen Forum",,CET,"Open Forum","01. Viral infection & disease (incl COVID-19)","Seif AL-ABRI",Oman,NULL,NULL
1156,FO063,NULL,"Science communication in a noisy world: podcasting and social media in ID/CM","Arena 1 |","14:45 - 15:45CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Emily G. MCDONALD",Canada,NULL,NULL
1161,FO090,NULL,"European CM/ID exam: going forward","Arena 1 |","11:00 - 12:00CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Siri GOEPEL",Germany,NULL,NULL
1167,FO097,NULL,"Essential diagnostics in Low-Resource Settings: why are we still talking?","Arena 1 |","13:30 - 14:30CETCMEOpen Forum",,CET,"Open Forum","04. Diagnostic microbiology","Truls Michael LEEGAARD",Norway,NULL,NULL
1172,FO098,NULL,"Best of ID Week","Arena 2 |","13:30 - 14:30CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Tina TAN","United States",NULL,NULL
1175,FO102,NULL,"Navigating the future of pandemics across One Health","Arena 1 |","14:45 - 15:45CETCMEOpen Forum",,CET,"Open Forum","11. Public health & vaccines","Xavier LESCURE",France,NULL,NULL
1180,FO129,NULL,"Predatory journals in CM/ID: from symptoms to cure","Arena 1 |","11:00 - 12:00CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Emily G. MCDONALD",Canada,NULL,NULL
1186,FO136,NULL,"Diversity in CM and ID: gender gaps and policy traps","Arena 1 |","13:30 - 14:30CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Andre FUCHS",Germany,NULL,NULL
1191,IPT01,NULL,"Clinical application of the UllCORE BSI Test - deepull's direct-from-blood multiplex PCR","Innovation theatre |","10:30 - 10:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1193,IPT02,NULL,"Race against resistance: understanding the impact of AMR on cancer care and advancing solutions","Innovation theatre |","11:00 - 11:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1195,IPT03,NULL,"Developing a potential first-in-class live biotherapeutic product (LBP) to prevent recurrent C. difficile infection (rCDI)","Innovation theatre |","11:30 - 11:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1197,IPT04,NULL,"The DRAIGON project: developing MDR diagnosis with AI-driven whole-genome sequencing for rapid, precise, and comprehensive detection of resistant infections","Innovation theatre |","12:00 - 12:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1199,IPT05,NULL,"Evolving impact of long COVID","Innovation theatre |","12:30 - 12:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1201,IPT06,NULL,"Molecular diagnostic tests: how do you QC? Increase compliance for your IQC programs","Innovation theatre |","13:00 - 13:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1203,IPT08,NULL,"BACTEROMIC: One system ... Many comprehensive solutions","Innovation theatre |","14:00 - 14:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1205,IPT09,NULL,"T cell directed mRNA vaccines for infectious diseases","Innovation theatre |","15:00 - 15:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1207,IPT10,NULL,"Data-driven approaches to managing patients at high risk for severe COVID-19","Innovation theatre |","15:30 - 15:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1209,IPT11,NULL,"Innovation in preventing the unseen threat: central line-associated bloodstream infections","Innovation theatre |","16:00 - 16:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1211,IPT12,NULL,"Isothermal recombinase polymerase (RPA) reagents for diagnostic assay development and research","Innovation theatre |","10:00 - 10:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1213,IPT13,NULL,"Fosmanogepix - a novel clinical phase 3 stage antifungal agent","Innovation theatre |","10:30 - 10:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1215,IPT14,NULL,"Drive for discovery: the long road for new uUTI antibiotic approvals","Innovation theatre |","11:00 - 11:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1217,IPT15,NULL,"From dysbiosis to detection: exploring the impact of vaginal microbiome testing on reproductive success","Innovation theatre |","11:30 - 11:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1220,IPT16,NULL,"The need for rapid diagnostics in sepsis management using innovative OnePCR point of care","Innovation theatre |","12:00 - 12:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1222,IPT17,NULL,"Physicochemical stability of cefepime/emmetazobactam in medical devices for continuous infusion. Is it possible to use it in OPAT?","Innovation theatre |","12:30 - 12:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1224,IPT18,NULL,"Nontuberculous mycobacteria: an overlooked threat with a growing impact on global public health","Innovation theatre |","13:00 - 13:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1226,IPT20,NULL,"The magic of randomization for understanding the public health value of influenza vaccination","Innovation theatre |","14:00 - 14:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1228,IPT21,NULL,"Revolutionizing vaginitis diagnosis: the Impact of molecular screening tools","Innovation theatre |","14:30 - 14:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1230,IPT22,NULL,"Microbiological diagnosis of sepsis: an emerging molecular approach in a clinical microbiology laboratory setting","Innovation theatre |","15:00 - 15:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1232,IPT23,NULL,"Molecular testing for intestinal protozoa: how a laboratory developed test compares to one that is FDA-cleared","Innovation theatre |","15:30 - 15:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1234,IPT24,NULL,"Implementation of pan-enteric PCR screening at a UK general district hospital - benefits, pitfalls and lessons learnt","Innovation theatre |","16:00 - 16:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1236,IPT25A,NULL,"Genomic data. Insights. Action (II): Rapid mNGS for emergency response (RANGER) for HERA's next-generation cross-border threat capability","Innovation theatre |","11:30 - 11:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
