ï»¿abstract_number,date,position,poster_id,presenter,row,sector,session,title,co_authors
"2525","12/04 12:00","13","P0013","Lucia PEREZ RODRIGUEZ","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Resistance to integrase inhibitors in HIV patients with therapeutic failure: striving for ""zero resistance""","L. Perez-Rodriguez|M. Illescas-Lopez|L. Aguilera-Muros|A. De Salazar|F. Garcia"
"2655","12/04 12:00","14","P0014","Gonçalo QUEIRÓS","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Genetic diversity in the capsid protein-coding region of HIV-1 circulating in Angola: implications for primary resistance to the novel capsid inhibitor lenacapavir","G. Queiros|L. Yefimenko|F. Pereira|J. Piedade"
"3099","12/04 12:00","15","P0015","Shodok PROMSANJAN","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Assessing the prevalence of latent tuberculosis infection among people living with HIV with viral suppression and CD4+ T cell counts = 200 cells/μl in Thailand","S. Promsanjan|C. Ungthammakhun|D. Changpradub|V. Vasikasin|W. Nasomsong"
"3289","12/04 12:00","16","P0016","Jacopo POLVERE","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Phenotypic modulation of RBD-specific B cells in people living with HIV upon booster vaccinations with SARS-CoV-2 mRNA vaccines","J. Polvere|F. Panza|S. Lucchesi|G. Montesi|I. Rancan|F. Fiorino|G. Pastore|M. Fabbiani|M. Tumbarello|F. Montagnani|D. Medaglini|A. Ciabattini"
"3350","12/04 12:00","17","P0017","Fatma Nisa BALLI TURHAN","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Medication optimisation in older people living with HIV: a multidisciplinary approach","M. Halil|S. Unal|K. Demirkan|F. Balli Turhan|E. Kara|Z. Sahiner|C. Balci|M. Sönmezer|A. Inkaya"
"3451","12/04 12:00","18","P0018","Andrea DE VITO","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Long-acting CAB + RPV: safety, efficacy, and discontinuation risks in ODOACRE cohort","A. Ciccullo|M. Mazzitelli|V. Iannone|A. Cervo|M. Fabbiani|M. Cossu|D. Leoni|G. Baldin|F. Romani|S. Antinori|A. Cattelan|C. Mussini|S. Di Giambenedetto|G. Madeddu|A. De Vito|A. Colpani|A. Giacomelli"
"3636","12/04 12:00","19","P0019","Luca MADDALONI","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","NGF levels differ by CD4+ T cell count and change after treatment in PLWH","L. Maddaloni|P. Rosso|E. Fico|L. Santinelli|G. Bugani|A. Lazzaro|L. Battistini|M. Fiore|G. Ferraguti|C. Mastroianni|G. d' Ettorre"
"3937","12/04 12:00","20","P0020","Paloma MUÑOZ","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Identification of APOBEC mutations and their impact on HIV drug resistance using next-generation sequencing (NGS)","P. Munoz-Baez|L. Chaves|A. De Salazar|M. Illescas|R. Delgado|A. Iborra|J. Galán|R. Carracedo-Monter|M. Sigcha|F. Pulido|L. Martinez Garcia|S. Pereira|C. Lopez-Causape|A. Aguilera|F. Garcia"
"4081","12/04 12:00","21","P0021","Philipp MATHÉ","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Analysis of the effect of high-sensitive CRP on bone density in people living with HIV","P. Mathé|H. Ingenstau|K. Laubner|S. Usadel|S. Rieg|J. Seufert|M. Muller"
"4662","12/04 12:00","22","P0022","Dominik BURSA","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Gender defines factors related to linkage to HIV care and early antiretroviral therapy—The Go Holistic Go Beyond project","C. Oprea|D. Gökengin|N. Yancheva-Petrova|S. Antoniak|L. Sojak|V. Saveski|D. Jilich|B. Lakatos|M. Bociaga-Jasik|B. Rozplochowski|J. Ranin|J. Kowalska|I. Gmizic|D. Bursa"
"4776","12/04 12:00","23","P0023","Brian HO","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Enhanced clearance of broadly neutralising HIV-1 Antibody VRC07-523-LS under Viremia: influences on trial design and analysis","B. Ho|C. Venuto|T. Wood|G. Morse|R. Cha|M. Caskey|K. Bar|L. Gama|Q. Ma|N. Smith"
"5112","12/04 12:00","24","P0024","Jorge CISCAR SORIANO","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Clinical impact of integrase inhibitor resistance: a growing challenge for the future?","J. Ciscar-Soriano|M. Gomez-Ruiz|A. Valentin-Martin|A. Hernández-Cabezas|M. Montero-Alonso|J. Lopez-Hontangas"
"5258","12/04 12:00","25","P0025","Martin OBERMEIER","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Evaluation of the new DxI 9000 anti-HIV antibody and antigen combo assay","A. Ismail|B. Wolter|J. Geisler|R. Ehret|M. Obermeier"
"5347","12/04 12:00","26","P0026","Jeppe Terpager CHRISTIANSEN","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Cytomegalovirus IgG concentration is associated with reduced lung function in well-treated persons with HIV","J. Christiansen|A. Roed|N. Arentoft|T. Benfield|M. Suarez-Zdunek|S. Ostrowski|N. Kirkby|K. Kunisaki|A. Knudsen|M. Gelpi|S. Nielsen"
"5358","12/04 12:00","27","P0027","Francesco ROMANO","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Mental health in PLWH: psychopathological variables and personality traits in patients compared with non-clinical subjects in Italy","F. Romano|I. Getuli|M. Ridolfi|F. Alessi|A. Lazzaro|L. Santinelli|C. Mastroianni|L. Tarsitani|G. D'ettorre"
"5514","12/04 12:00","28","P0028","Filip GLAVAC","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Significant mortality reduction of severe Pneumocystis jirovecii pneumonia in people living with HIV treated in the intensive care unit, Croatia, 2002-2023","F. Glavac|L. Dragosevic|J. Begovac|M. Kutlesa|A. Atelj|M. Vargovic|S. Zekan|M. Santini"
"5648","12/04 12:00","29","P0029","Ana Sofia GIL VIEIRA DA SILVA","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Evaluation of HIV Ag/Ab combo, HBsAg and anti-HCV serological assays on a new-to-market, high throughput analyser for emergency department opt-out testing in a high prevalence population as part of the United Kingdom screening programme","A. Gil Vieira Da Silva|D. Lee|T. Ngee Keong|M. Habibi|C. Pope|D. Andrew"
"5929","12/04 12:00","31","P0031","Öznur GÜNES","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Analysis of resistance profiles in relation to subtypes and immune markers in newly diagnosed HIV patients","Ö. Gunes|D. Sevgi|M. Yaman|M. Öcal|E. Aktas|M. Bulut"
"6065","12/04 12:00","32","P0032","Pious APPIAH","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Understanding the evolution of HIV-1 in Ghana: subtype distribution and drug resistance challenges","P. Appiah|M. Adusei-Poku|B. Musah Obeng|R. Osei-Yeboah|S. Agyemang|G. Gbassana|L. Mac-Ankrah|I. Jamfaru|M. Seshie|I. Sraku|S. Ankamah|K. Duedu|K. Sagoe"
"6148","12/04 12:00","33","P0033","Francisco ARNAIZ DE LAS REVILLAS ALMAJANO","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Safety and efficacy of long-acting HIV treatment in real life at a tertiary care hospital","R. Parra Farinas|C. Arminanzas|M. Gutierrez Cuadra|C. Secada Gomez|N. Rojas|A. Illarro Uranga|C. Gonzalez Rico|C. Farinas Alvarez|F. Arnaiz De Las Revillas"
"6254","12/04 12:00","34","P0034","Francisco MERCA","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Evaluating HIV-1 protease drug binding affinity: structural prediction with AlphaFold2 and AutoDock Vina","F. Merca|A. Abecasis|P. Libin"
"6788","12/04 12:00","35","P0035","Gaurav KAUSHIK","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Toll-like receptors (TLRs) polymorphism in HIV-I infected patients with and without tuberculosis (TB) co-infection","G. Kaushik|R. Vashishtha|S. Sharma"
"6839","12/04 12:00","36","P0036","Vera ALLERHEILIGEN","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Generic HIV-1 Viral Load Ver 2.0: a dual target quantitative assay for HIV-1","M. Vinay|M. Lereau-Bernier|T. Dupinay|M. Liess|M. Rothmund|D. Aberle|M. Mönnich|V. Allerheiligen"
"7049","12/04 12:00","37","P0037","Adriana Violeta TOPAN","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Measles seroprevalence in people living with human immunodeficiency virus in northern Transylvania, Romania","A. Topan|C. Jianu|I. Filipescu|M. Lupse|V. Briciu|M. Flonta|M. Flonta"
"7124","12/04 12:00","38","P0038","Filip GLAVAC","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Clinical characteristics and treatment outcomes in critically ill people living with HIV: a single-centre study from an infectious disease intensive care unit, 2002-2023","M. Santini|F. Glavac|L. Dragosevic|M. Kutlesa|S. Zekan|J. Begovac"
"7170","12/04 12:00","39","P0039","Alfonso CABELLO","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Acceptability and feasibility interventions measures (AIM & FIM) of the implementation of long-acting cabotegravir plus rilpivirine (CAB LA + RPV LA) administration out of HIV units: the IMADART study","A. Cabello|I. Carrillo|A. Al-Hayani|M. Lopez De Las Heras|C. Algar|I. Burillo|B. Álvarez-Álvarez|L. Prieto-Pérez|I. Mahillo-Fernández|M. Bonilla|L. Garcia-Jimenez|J. Caraballo|M. Espáris|B. Gallego|J. Bécares|M. Gorgolas"
"7393","12/04 12:00","40","P0040","Alessandra D'AURIA","1","B","01a. HIV/AIDS (incl diagnostics & epidemiology, anti-retroviral drugs, vaccines, treatment & susceptibility/resistance)","Longitudinal study of type I interferon neutralising antibodies in people living with HIV","A. D'auria|F. Frasca|F. Matteo|C. Roberta|M. Luca|B. Ginevra|M. Ivano|F. Caterina|C. Giancarlo|M. Claudio Maria|A. Guido|T. Ombretta|D. Gabriella|S. Carolina"
"164","12/04 12:00","42","P0042","Hugh WATSON","1","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Hepatitis delta virus prevalence in the European Union estimated with novel methodology","A. Nizzardo|L. Nidiaci|E. Liusina|H. Watson|J. Alexander"
"236","12/04 12:00","43","P0043","Bouchra BELEFQUIH","1","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Comparative analysis of HBsAg and anti-HCV testing: dried blood spots vs whole blood","R. Bennai|N. Touyar|H. Kabbaj|B. Belefquih"
"699","12/04 12:00","44","P0044","Felipe PÉREZ-GARCÍA","1","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Prevalence and risk factors of active hepatitis C infection in migrants between 2019-2023 in Madrid, Spain","F. Perez-Garcia|P. Ryan|J. Valencia|I. Martinez|S. Resino|M. Quero-Delgado|G. Cuevas|S. Manzano|D. Sepúlveda-Crespo"
"818","12/04 12:00","45","P0045","Felipe PÉREZ-GARCÍA","1","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Opportunistic diagnosis of hepatitis C virus infection by hypertransaminasemia: a one-year, single-centre, prospective study","F. Perez-Garcia|J. Sánchez-Fuertes|A. Gomez Herrera|H. Bermúdez-Marval|T. Costales Lucia|A. Rojas-Diaz|T. Arroyo Serrano|R. Pérez-Tanoira|M. Barrionuevo González|M. Ruiz-Álvarez|J. Cuadros-González"
"1257","12/04 12:00","47","P0047","Saurabh BHARGAVA","1","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Development and characterisation of surface modified chitosan nanoparticles for selective targeting of lamivudine to hepatocyte","S. Bhargava"
"1520","12/04 12:00","48","P0048","Eldor URINOV","1","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Genotypic variations of hepatitis delta virus among chronic hepatitis patients in Uzbekistan","E. Urinov|T. Dolimov|L. Tuychiev"
"1732","12/04 12:00","1","P0049","Krispin HAJKOWICZ","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Epidemiology and testing of hepatitis delta virus infection in Australia","K. Hajkowicz|B. Graves|N. Smoll|S. Bonanzinga|J. O'keefe|D. Chibo|J. Robson|E. Raby|N. Joshi Rai|M. O'sullivan|P. Harris|K. Jackson"
"1755","12/04 12:00","2","P0050","Marie Louise SLOTT JENSEN","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Diagnostic value of consecutive samples for anti-HEV IgG analyses","M. Slott Jensen|K. Franck"
"2137","12/04 12:00","3","P0051","Emma Ann DAVIES","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Whole genome sequencing of hepatitis C virus from dried blood spots by hybrid capture for genotype and antiviral resistance determination","E. Davies|C. Phillips|N. Machin|S. Kaur|D. Hand|B. Brown|R. Manu"
"2148","12/04 12:00","4","P0052","Felipe PÉREZ-GARCÍA","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Validation of a new molecular assay for the quantification of hepatitis D RNA in EDTA-plasma and serum samples","F. Perez-Garcia|A. Virseda-Berdices|C. Pita-Martinez|M. Munoz Monte|D. Sepúlveda-Crespo|H. Codina|J. Cuadros-González|I. Martinez|S. Resino|R. Alonso|S. Rodrigo|L. Mesones"
"2280","12/04 12:00","5","P0053","Samia BENADDA","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Treat and Follow-Up: Recontamination by Hepatitis C Virus After Effective Treatment","S. Benadda|A. Zertal|H. Agsous|F. Zmit|N. Belabes|N. Achour|H. Ziane"
"2514","12/04 12:00","6","P0054","Marta ILLESCAS-LÓPEZ","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Optimising molecular diagnosis of hepatitis delta","M. Illescas-Lopez|L. Perez-Rodriguez|A. Alberola|A. De Salazar|F. Garcia"
"2516","12/04 12:00","7","P0055","Anny CAMELO","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Relink-C study in Almería, Spain: opportunistic rescue of patients with HCV infection lost to follow-up in the healthcare system","T. Cabezas|A. Porcel|M. Rodriguez|J. Vega|M. Casado|J. Escalante|A. Camelo"
"2538","12/04 12:00","8","P0056","Robert EHRET","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","HDV full genome sequencing and genotype determination in a Berlin cohort","D. Guapiessi|Ö. Yildirim|M. Prentice|R. Ehret|M. Obermeier"
"2539","12/04 12:00","9","P0057","Lucia RIOS-MUÑOZ","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Neurological injury associated with rat hepatitis E virus infection","L. Rios-Munoz|M. Gallo-Marin|E. Aguera|A. Pérez|J. Caballero-Gomez|J. Caballero Villarraso|D. Corona-Mata|M. Casares-Jimenez|M. Frias|I. Perez-Valero|A. Rivero-Juárez|A. Rivero"
"2546","12/04 12:00","10","P0058","Lucia RIOS-MUÑOZ","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Febrile syndrome without a focus linked to rat hepatitis E infection","L. Rios-Munoz|M. Gallo-Marin|A. Pérez|J. Caballero-Gomez|D. Corona-Mata|M. Casares-Jimenez|M. Frias|A. Carrasco|P. Lopez-Lopez|C. Ferreira|I. Perez-Valero|A. Rivero-Juárez|A. Rivero"
"2605","12/04 12:00","11","P0059","Wanessa CLEMENTE","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Y.E.L.L.O.W. score (yellow fever end-stage liver and organ worsening score)","C. Viera|B. Couto|W. Clemente"
"2804","12/04 12:00","12","P0060","Muhammet KIPLAPINAR","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Redetermination Anti-HCV Levels (S/Co) Based on Correlation with HCV-RNA for Diagnosing Hepatitis C Virus (HCV) Infection","M. Kiplapinar|P. Erbay Dundar|S. Kurutepe|S. Akcali"
"2813","12/04 12:00","13","P0061","Ana ALBEROLA ROMANO","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Epidemiology of the hepatitis delta virus in Spain through whole genome sequencing","A. Alberola Romano|A. De Salazar|L. Chaves-Blanco|M. Illescas-Lopez|A. Fuentes|A. Iborra|A. De La Iglesia|C. Freyre|M. Odero|I. Viciana|M. Pena|F. Fernández Sánchez|E. Ramirez De Arellano|F. Garcia"
"2883","12/04 12:00","14","P0062","Alberto VAZQUEZ BLANQUIÑO","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","""ProLink"" HCV study: optimising the HCV elimination cascade to re-engage the unreached","A. Vazquez Blanquino|A. Fuentes|L. Aguilera-Muros|L. Perez Rodriguez|M. Illescas-Lopez|L. Chaves-Blanco|F. Garcia"
"2978","12/04 12:00","15","P0063","Lorenzo SALMONI","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Characterisation of a cohort of liver transplant patients for HBV and/or HBV/HDV related complications: results of a Campania multicentre study","G. Stornaiuolo|L. Salmoni|A. Russo|D. Angrisani|A. Santonicola|G. Valente|F. Longobardi|F. Morisco|M. Persico|M. Stanzione|C. Sagnelli|M. Pisaturo|N. Coppola"
"3309","12/04 12:00","16","P0064","Erika ASPERGES","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Finite NA therapy in chronic hepatits B: a retrospective study on safety and prevalence of HBsAg-HBsAb seroconversion","E. Asperges|V. Zuccaro|E. Segalini|M. Calia|G. Nava|L. Maiocchi|P. Sacchi|R. Bruno"
"3345","12/04 12:00","17","P0065","Javier CABALLERO GÓMEZ","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Surveillance of ratHEV in extensively raised pigs in Spain","J. Caballero-Gomez|A. Rivero|I. Garcia-Bocanegra|D. Cano-Terriza|M. Casares-Jiménez|S. Jiménez-Ruiz|M. Risalde|L. Rios-Munoz|A. Rivero-Juárez"
"3373","12/04 12:00","18","P0066","Helena GARCIA LOPEZ","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Enhancing HDV detection: prevalence and diagnostic advances in northern Spain","H. Garcia-Lopez|S. Algarate|J. Bueno|R. Benito|E. Alvarado|S. Arnal|M. Riesgo Magana|C. Zumeta|M. Sarvisé|A. Achkir"
"3385","12/04 12:00","19","P0067","Kristian PAVOL","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Hepatitis C screening and treatment in the largest mariginalised Roma community with risky behavior","P. Kristian|I. Hockicková|D. Hudackova|F. Lami|J. Hockicko"
"3580","12/04 12:00","20","P0068","Sara ARNABOLDI","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Hepatitis E virus in northern Italy: focus on wild fauna for a One Health approach","S. Arnaboldi|F. Righi|A. Scarazzato|E. Pavoni|V. Filipello|D. Lelli|T. Trogu|A. Lavazza|S. Bonardi|A. Bianchi|B. Bertasi"
"3674","12/04 12:00","21","P0069","Laura GRUMIRO","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Performance evaluation of chemiluminescence anti-HCV assay","L. Grumiro|S. Semprini|E. Vecchio Nepita|M. Brandolini|C. Colosimo|L. Dionisi|M. Guerra|A. Marzucco|M. Montanari|G. Dirani|S. Zannoli|A. De Pascali|M. Cricca|V. Sambri"
"3870","12/04 12:00","22","P0070","Shreya PANI","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Novel S/Co ratios for predicting HCV RNA positivity in cancer patients: a study from a tertiary care cancer centre in India","S. Pani|G. Salunke|P. Samant|S. Biswas"
"4385","12/04 12:00","23","P0071","Anny CAMELO","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Missed opportunities for diagnosing HCV infection in patients identified by an emergency department screening strategy","T. Jordan|J. Escalante|A. Duarte|T. Cabezas|M. Rodriguez|A. Carrodeguas|J. González|J. Vega|M. Casado|A. Camelo"
"4420","12/04 12:00","24","P0072","Imran HASANOGLU","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Characterising HBV reactivation in non-liver solid organ transplant recipients: clinical insights from a multicentre study","I. Hasanoglu|M. Hallemoglu Topcu|V. Avkan-Oguz|H. Arslan|Y. Tezer Tekçe|M. Çeli?k|T. Yamazhan|E. Tanyel|T. Arslan Gulen|B. Tatar|E. Ates|S. Altunisik Toplu|S. Sayin Kutlu|A. Mete|E. Olcucuoglu|F. Celik Basaran|Y. Deligoz Bildaci|O. Acet|M. Dilek|E. Akpinar|A. Uslu|A. Safak|T. Piskin|B. Dursun"
"4906","12/04 12:00","25","P0073","Mini P SINGH","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Screening for Y93H resistance associated substitution in chronic HCV patients presenting to a tertiary care hospital of north India","M. P. Singh|S. K.|P. Kanta|K. Goyal|A. Duseja|M. Thungapathra|R. Ratho"
"5197","12/04 12:00","26","P0074","Ingrid ALBRECHT-WALZ","2","B","01b. Viral hepatitis (incl diagnostics & epidemiology, antiviral drugs, vaccines, treatment & susceptibility/resistance)","Refining diagnostics: a novel chemiluminescence assay for improved sensitivity and precision in HEV detection","I. Albrecht Walz|F. Struck|E. Staschik|T. Luttich|S. Barabas|F. Schwarzmann|E. Soutschek"
