id,sessionId,parentSessionId,title,location,date,timeRange,timezone,sessionType,category,chairName,chairCountry,presenterName,presenterCountry
403,EF004,397,"Pharmacokinetic/pharmacodynamic evaluation of benzoxaborole MRX-5 in mouse pneumonia model with Mycobacterium abscessus infection",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Wen WANG","United States"
404,EF004,397,"Pharmacokinetic/pharmacodynamic modelling of immune response and meropenem activity in immunocompetent and neutropenic mouse lung infection models",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Raphaël SAPORTA",Sweden
405,EF004,397,"Implementation of a model-based nomogram for amoxicillin precision dosing in patients suspected of infective endocarditis: preliminary results of the NOMOBA-AMX multicentre study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Paul LE TURNIER","French Guiana"
406,EF004,397,"No time to waste: hospital-wide assessment of IV- vial and line residuals and impact on target attainment.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dorian VANNESTE",Belgium
407,EF004,397,"Population pharmacokinetic modelling of colistin in critically-ill patients on sustained low-efficiency dialysis: implications for dose selection",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dominika FUHS",Australia
408,EF005,NULL,"It's all in the blood","Arena 2 |","09:30 - 10:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Colin R. MACKENZIE",Germany,NULL,NULL
409,EF005,408,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Colin R. MACKENZIE",GermanyChair
410,EF005,408,"Limited delayed incubation of blood culture bottles has limited effect on yield and time-to-positivity",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Liselotte HARDY",Belgium
411,EF005,408,"Unnecessary clinical interventions due to blood culture contamination in a large Canadian hospital network",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Clayton Wallace HALL",Canada
412,EF005,408,"Utility of sigmoidal growth curve when no organisms are seen on Gram stain in positive blood cultures",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Declan CRILLY","United Kingdom"
413,EF005,408,"Clinical microbiology laboratory consultancy to optimize blood culture workflow: Analysis of results",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Carlotta MAGRI",Italy
414,EF005,408,"Comparison of Syndromic Sepsis Panel and Standard Blood Culture Results: Contribution to Patient Management",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sevim Gayenur BUYUKBERBER",Türkiye
415,EF005,408,"Predicting blood culture positivity using machine learning with complete blood and differential counts in a tertiary care hospital of Turkiye",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Özlem TÜRKMEN RECEN",Türkiye
416,EF005,408,"Performance of direct pathogen and β-lactamase detection workflow using MALDI-TOF MS from positive blood culture specimens",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kosuke KOSAI",Japan
417,EF005,408,"Waiting for follow-up blood cultures is not always necessary for diagnosis of central line-associated bloodstream infections",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lieke VAN BALEN",Netherlands
418,EF005,408,"Economic and health gains associated with the adoption of the 2-hour phenotypic antimicrobial susceptibility testing in patients with bloodstream infection in Europe",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Cidália PINA-VAZ",Portugal
419,EF006,NULL,"Emerging developments in antifungal pharmacology","Arena 4 |","09:30 - 10:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","06. Fungal infection & disease","Roger BRÜGGEMANN",Netherlands,NULL,NULL
420,EF006,419,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Roger BRÜGGEMANN",NetherlandsChair
421,EF006,419,"NATURE-US: the natural history of antifungal failure in invasive candidiasis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Luis OSTROSKY-ZEICHNER","United States"
422,EF006,419,"The antidepressant vortioxetine enhances resistance toward multiple azoles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Silvia RIZZO",Italy
423,EF006,419,"Enhancing Isavuconazole Pharmacokinetics: A Comprehensive Population (PPK) Model from Three Phase 3 Trials and Covariate Exploration",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Amit DESAI","United States"
424,EF006,419,"Identification of efflux inhibitors for Candida albicans through a drug repurposing strategy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Débora MARQUES",Portugal
425,EF006,419,"Clinical outcomes of micafungin 100 mg vs. 150 mg daily for the treatment of Candida auris fungemia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jysheng HOU","United States"
426,EF006,419,"Resolution of clinical signs in adults with invasive candidiasis and/or candidaemia treated with rezafungin or caspofungin: ReSTORE and STRIVE trial pooled analysis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"George R THOMPSON","United States"
427,EF006,419,"Ibrexafungerp is effective in treatment of patients with candidiasis, including candidaemia, caused by Candida auris: a multicentre, open-label study (CARES)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marisa H. MICELI","United States"
428,EF006,419,"High-dose isavuconazole therapy is well-tolerated and significantly improves survival in a fruit fly model of invasive mucormycosis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sebastian WURSTER","United States"
429,EF006,419,"Pharmacokinetics, pharmacodynamics, safety, and efficacy of innovative dosing schedules of liposomal amphotericin B for treatment of experimental invasive pulmonary aspergillosis in persistently neutropenic rabbits",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ruta PETRAITIENE","United States"
430,EF014,NULL,"Infection control and prevention around the World","Arena 2 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","08. Healthcare-associated infections, infection prevention & control","Divyashree SHANTHAMURTHY",India,NULL,NULL
431,EF014,430,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Divyashree SHANTHAMURTHY",IndiaChair
432,EF014,430,"WHO Global Survey on Infection Prevention and Control Minimum Requirements: Laying the Foundation for 2030 Global Targets",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Peter BISCHOFF",Switzerland
433,EF014,430,"Healthcare-associated infections in african intensive care units: A muliticentre prospective cohort study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bamba GAYE",Senegal
434,EF014,430,"Epidemiology of community-acquired versus hospital-acquired sepsis in acute hospitals in Ireland - 2016-2022.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Emer LIDDY",Ireland
435,EF014,430,"Epidemiology of Central Line-Associated Bloodstream Infections (CLABSIs) in a Network of Ten Hospitals across Greece: A 30-Month Surveillance Study – GRIPP-SNF Network",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ioannis KOPSIDAS",Greece
436,EF014,430,"Characterisation of plasmids disseminating antibiotic resistance in Klebsiella pneumoniae isolates from Pretoria, South Africa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Theevasha GOVENDER","South Africa"
437,EF014,430,"Transmission dynamics of carbapenemase-producing bacteria between hospital and household settings in Benin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kevin Mael Patrick Zinsou SINTONDJI",Benin
438,EF014,430,"Evaluating the impact of a rapid screening test for carbapenem-resistant organisms in Brazilian intensive care units.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Matias SALOMÃO",Brazil
439,EF014,430,"Genomic Insights into the Rapid Rise of Pseudomonas aeruginosa ST463: A High-Risk Clone's Adaptive Strategy in China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Xu DONG",China
440,EF014,430,"Nanopore long-read only genome assembly for public health surveillance of Enterobacterales bloodstream infections and plasmid epidemiology in England: A pilot study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dorottya NAGY","United Kingdom"
441,EF015,NULL,"Advances in the diagnosis and treatment of skin, bone, and joint infections","Arena 3 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","02. Bacterial infection & disease","Norma JUNG",Germany,NULL,NULL
442,EF015,441,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Norma JUNG",GermanyChair
443,EF015,441,"Potential benefits of PET-CT in the management of bone and joint infections in infective endocarditis: a retrospective analysis from the Mayo Clinic",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Francesco PETRI",Italy
444,EF015,441,"Synovial fluid microRNA biomarkers enable accurate diagnosis of periprosthetic joint infection",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Bernhard J.h. FRANK",Austria
445,EF015,441,"Diagnostic accuracy of 16S rDNA PCR, multiplex PCR and metagenomic Next-Generation Sequencing in periprosthetic joint infections: a systematic review and meta-analysis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Flaminia OLEARO",Germany
446,EF015,441,"Comparison of microbiology, management and outcome between patients with native and with post-surgical vertebral osteomyelitis: a 7-year retrospective study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Giacomo FRANCESCHI",Italy
447,EF015,441,"Cefiderocol real-life use in bone and joint infection: a retrospective French multicenter study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ava DIARRA",France
448,EF015,441,"Real-Life Experience with Dalbavancin as Suppressive Antibiotic Treatment in orthopaedic implant-related infections.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Rosa ESCUDERO-SÁNCHEZ",Spain
449,EF015,441,"Short or Long Antibiotic Regimes in Orthopaedics: the SOLARIO multicentre randomised controlled trial",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Maria DUDAREVA","United Kingdom"
450,EF015,441,"Clinical and Antibacterial Diversity of Staphylococcal Phenotypes in Skin and Soft Tissue Infections: A Resource-Limited Country Perspective.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Faiza ZEESHAN",Pakistan
451,EF015,441,"Discrepancy between clinical-radiological diagnosis and surgical confirmation in 62 patients undergoing fasciotomy for suspected necrotizing fasciitis: a 11-year retrospective study.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Federico ROMANI",Italy
452,EF016,NULL,"Rising threats: antimicrobial resistance in STIs","Arena 4 |","11:00 - 12:00CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Marcos RUST",Austria,NULL,NULL
453,EF016,452,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marcos RUST",AustriaChair
454,EF016,452,"Important rise of antibiotic resistance of Mycoplasma genitalium, a sexually transmitted pathogen, in a French University hospital",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Florence DOUCET POPULAIRE",France
455,EF016,452,"Molecular characterization of antimicrobial resistance and genotyping of Mycoplasma genitalium positive samples of the Lisbon area, Portugal",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Margarida BARROS",Portugal
456,EF016,452,"Antimicrobial Resistance in Mycoplasma genitalium: Surveillance and Management in São Paulo, Brazil",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Victor PASSARELLI",Brazil
457,EF016,452,"Impact of genotypic substitutions on treatment failure for Mycoplasma genitalium infection",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nicholas Brian BANA",Italy
458,EF016,452,"Macrolide-resistant Mycoplasma genitalium: an emerging threat to public health?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jorge CISCAR SORIANO",Spain
459,EF016,452,"Comparison of carbapenem MIC in wild-type, MDR and XDR Neisseria gonorrhoeae isolates",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Julie BROUSSEAU",France
460,EF016,452,"Unsettling surge in antimicrobial resistance patterns of Neisseria gonorrhoeae - A study from national reference centre in India.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Devanshi SHARMA",India
461,EF016,452,"Surveillance of Neisseria gonorrhoeae antimicrobial resistance rate and treatment regimes in Singapore from 2014 to 2024",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marcella GIOVANNI",Singapore
462,EF016,452,"Molecular surveillance results of N. gonorrhoeae in Korea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kyoung Ho ROH","Republic Of"
463,EF021,NULL,"Infections in hemato-oncological hosts: from bacterial to viral","Arena 1 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","10. Immune compromise & transplant ID","Genovefa PAPANICOLAOU","United States",NULL,NULL
464,EF021,463,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Genovefa PAPANICOLAOU","United StatesChair"
465,EF021,463,"Vancomycin-resistant Enterococcus faecium bloodstream infection in patients with hematological malignancy and stem cell transplant: a case-control study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jollee FUNG",Canada
466,EF021,463,"Bacteremia secondary to urinary tract infection in oncology patients: risk factors and impact of multidrug-resistant Gram-negative bacilli.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ignacio GRAFIA",Spain
467,EF021,463,"Rectal carriage of multidrug-resistant organisms and subsequent bloodstream infections in hematologic patients undergoing hematopoietic stem cell transplantation or chimeric antigen receptor T-cell therapy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Charalampos CHARALAMPIDIS",Greece
468,EF021,463,"The RUSTIC Study: Respiratory Virus Infection in a Contemporary Longitudinal Cohort of Patients with Haematological Malignancy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Benjamin TEH",Australia
469,EF021,463,"Viral respiratory infections in patients with hematological diseases over 10 years: epidemiology and impact on disease severity",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Patrizia BONO",Italy
470,EF021,463,"Safety and tolerability of SYN-004 in allogeneic hematopoietic cell transplant (HCT) recipients receiving meropenem (MER) or piperacillin/tazobactam (P/T)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Erik DUBBERKE","United States"
471,EF021,463,"Standardized gastrointestinal cytomegalovirus (CMV) tissue quantitative-nucleic-acid testing (QNAT) compared to immunohistochemistry in allogeneic hematopoietic cell transplant (HCT) recipients",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sara DE ARAGÓN DE LA CRUZ",Switzerland
472,EF021,463,"Real-life experience with maribavir for the treatment of cytomegalovirus infection in hematological patients.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jorge BOAN PEREZ",Spain
473,EF022,NULL,"Syndromic testing is still coming of age","Arena 2 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","04. Diagnostic microbiology","Tommaso GIANI",Italy,NULL,NULL
474,EF022,473,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tommaso GIANI",ItalyChair
475,EF022,473,"Bacterial infections of the central nervous system: addressing the diagnostic gap in non- community-acquired meningitis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Giulia MENCHINELLI",Italy
476,EF022,473,"Epidemiological surveillance of central nervous system infections through a rapid syndromic testing platform",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Melisa REY",Spain
477,EF022,473,"Impact of Syndromic Panel Implementation on Meningitis/Encephalitis Diagnosis, Antimicrobial Use, Costs, and Hospital Stay in a Regional Australian Hospital",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Shradha SUBEDI",Australia
478,EF022,473,"Performance evaluation of the NxTAG® GPP Panel for the detection of gastrointestinal pathogens by comparison with current routine methods in Nantes University Hospital.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sophie GIBAUD",France
479,EF022,473,"Correct discrimination of Monkeypox virus clades by fast syndromic testing",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sven REISTER",Germany
480,EF022,473,"Managing a Mycoplasma pneumoniae Outbreak: Impact of Syndromic Panels on Antimicrobial Prescriptions in Pediatric Emergencies",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Luis BRUSCA",Spain
481,EF022,473,"Performance of BIOFIRE® FILMARRAY® Pneumonia plus in general population, solid organ transplant recipients and patients with hematologic malignancies – Interim analysis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Riccardo RICCARDI",Italy
482,EF022,473,"Impact of the molecular rapid diagnostic panel testing in adjustment of antimicrobial therapy in febrile neutropenic patients with bacteremia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sorawit CHANTHARASUT",Thailand
483,EF022,473,"BacteREVEAL: Analytical performance and contribution of BioFire® BCID2 and Vitek® REVEALTM in intensive care patients with Gram-negative bloodstream infections",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Claire ROGER",France
484,EF023,NULL,"Effective microbiology for the management of sepsis","Arena 3 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","02. Bacterial infection & disease","Maurizio SANGUINETTI",Italy,NULL,NULL
485,EF023,484,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Maurizio SANGUINETTI",ItalyChair
486,EF023,484,"Molecular epidemiology of Klebsiella bloodstream infection-causing isolates across England using Nanopore longread-only sequencing: An interim analysis of the NEKSUS study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dorottya NAGY","United Kingdom"
487,EF023,484,"Investigating seasonality of antibiotic resistance associated with E. coli and Klebsiella pneumoniae bloodstream infections",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sam LIPWORTH","United Kingdom"
488,EF023,484,"Sensitivity of a host-protein test for microbiologically confirmed bacterial infections",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Roy NAVON",Israel
489,EF023,484,"Comparative genomics of Klebsiella pneumoniae from gut colonisation and bloodstream infections reveal novel genetic associations",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marit HETLAND",Norway
490,EF023,484,"Conventional microbiology vs. conventional microbiology + nucleic acid-based multiplex real-time polymerase chain reaction (MPCR) test kit in septic shock: results of a matched cohort study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Gamze SANLIDAG ISBILEN",Türkiye
491,EF023,484,"Contribution of Escherichia coli microbiological factors to the presentation as sepsis/septic shock in patients with bacteraemia: a matched case-control study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Natalia MALDONADO",Spain
492,EF023,484,"Simplified and rapid bacterial identification with antimicrobial resistance detection in bacteremia by on-chip multiplexed LAMP.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Capucine TREILLE",France
493,EF023,484,"Community-onset bloodstream infection among people with opioid use disorders: A twenty-year population-based cohort study in Queensland, Australia.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kevin LAUPLAND",Australia
494,EF023,484,"Microbiological diagnosis tools for primary and secondary abdominal aortic infections requiring surgery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sarah SOUEGES",France
495,EF024,NULL,"A never-ending evolution of antimicrobial resistance","Arena 4 |","13:30 - 14:30CETCMEePoster Flash Session",,CET,"ePoster Flash Session","03. Bacterial susceptibility & resistance","Antonio OLIVER",Spain,NULL,NULL
496,EF024,495,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Antonio OLIVER",SpainChair
497,EF024,495,"Gfa, a novel integron-born fosfomycin resistance mechanism",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nicolas KIEFFER",Spain
498,EF024,495,"Regulons of RamA, RarA and SoxS mediated tigecycline resistance and oxidative stress among in vitro tigecycline resistant evolution trajectory of Klebsiella pneumoniae.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Xiaojuan WANG",China
499,EF024,495,"Assessing the impact of altered penicillin binding proteins on susceptibility to novel antimicrobials among clinical isolates of carbapenemase-producing Escherichia col",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chaitanya TELLAPRAGADA",Sweden
500,EF024,495,"Enterococcus faecalis penicillin-binding protein-4 sequence differences based on penicillin minimum inhibitory concentration",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Olivia FUNK","United States"
501,EF024,495,"Uncommon genomic rearrangements drive vancomycin resistance in vanB-positive Enterococcus faecium",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kyriaki XANTHOPOULOU",Germany
502,EF024,495,"Heteroresistance in Enterococcus faecalis: prevalence and mechanistic insights across clinically relevant antibiotics",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sheida HEIDARIAN",Sweden
503,EF024,495,"Side effects of rifampicin resistance: transcriptome modulation by rpoB mutations in Staphylococcus aureus",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mélanie ROCH",Switzerland
504,EF024,495,"Novel continuous experimental evolution methodology revealing rapid resistance development and cross-resistance",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Thaddäus ECHELMEYER",Germany
505,EF029,NULL,"Vaccination uptake-challenges and opportunities","Arena 2 |","14:45 - 15:45CETCMEePoster Flash Session",,CET,"ePoster Flash Session","11. Public health & vaccines","Joanne M. LANGLEY",Canada,NULL,NULL
506,EF029,505,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Joanne M. LANGLEY",CanadaChair
507,EF029,505,"Electronic nudges to increase influenza vaccination uptake among patients with heart failure: insights from 3 nationwide randomized trials enrolling >2 million patients",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Niklas Dyrby JOHANSEN",Denmark
508,EF029,505,"Psychological Predictors of Influenza Vaccination Intent Among Healthcare Workers in Bulgaria",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Petar VELIKOV",Bulgaria
509,EF029,505,"Determinants of COVID-19 vaccine uptake in patients with hematologic malignancies: a nationwide cohort study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Quincy HOFSINK",Netherlands
510,EF029,505,"Inequality in vaccine uptake among children in Denmark in the national childhood vaccination programme",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Anne Christine Mariager BRESCHEL",Denmark
511,EF029,505,"Prevalence and associated factors of parental refusal rates for routine immunisation: A cross-sectional study in Peshawar, Khyber Pakhtunkhwa, Pakistan-2024",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Muhammad HAKIM",Pakistan
512,EF029,505,"Shingles Prevalence, Vaccine Awareness, and Acceptance in People Living with HIV",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dilara YAMAN",Türkiye
513,EF029,505,"Tick-borne encephalitis vaccine uptake, effectiveness, and impact in Sweden, 2018−2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Andreas PALMBORG",Sweden
514,EF029,505,"Monkeypox (mpox) vaccination willingness and determinants among people living with HIV (PLWH) in turkey",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Cemre BOSNAK",Türkiye
