Day,Local Time,Location,Category,Type of Session,Number/Code,Session Title,Presentation Title,Authors/Presenters,MAF Coverage,Priority Level ,Status,Comments,tracknames,presenters,additional_info,disclosures
Wednesday,1:30 PM - 3:15 PM,Ballroom (West Hall B),,,,6 - What's Hot in ID + HIV,,,,,,,"['Adult ID', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee']","[{'title': 'Emily Erbelding, MD (she/her/hers)', 'affiliation': 'Director, Division of Microbiology and Infectious Disease NIAID National Institutes of Health Rockville, MD, United States'}, {'title': 'Colleen Kelley, MD, MPH (she/her/hers)', 'affiliation': 'Associate Professor of Medicine Emory University Decatur, GA, United States'}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Emily Erbelding, MD:  No financial relationships to disclose', 'Colleen F. Kelley, MD, MPH:  No relevant disclosure to display']"
Wednesday,1:30 PM - 3:15 PM,Petree D,,,,7 - Mano-a-Mano,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Investigative ID', 'Pediatric ID', 'Trainee', 'Transplant']","[{'title': 'Latania Logan, MD, MSPH', 'affiliation': 'Marcus Professor of Pediatric Infectious Diseases, Professor of Pediatrics Emory University School of Medicine Atlanta, Georgia, United States'}, {'title': 'Jason Newland, MD (he/him/his)', 'affiliation': 'Professor of Pediatrics Washington University School of Medicine Columbus, OH, United States'}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Latania K. Logan, MD, MSPH:  No financial relationships to disclose', 'Jason Newland, MD:  No relevant disclosure to display']"
Wednesday,2:00 PM - 2:30 PM,NextGen ID Lounge (Hall K Foyer),,,,"IDBugCrawl: VIP Talk with Rochelle Walensky, MD, MPH, FIDSA",,,,,,,"['IDBugCrawl', 'Trainee']",[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,2:30 PM - 3:00 PM,NextGen ID Lounge (Hall K Foyer),,,,Mix N' Mingle,,,,,,,"['IDBugCrawl', 'Trainee']",[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,3:45 PM - 5:30 PM,Ballroom (West Hall B),,,,8 - Opening Plenary - Navigating the Next Pandemic: Policy and Practice Integration,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee', 'Transplant', 'COVID-19']","[{'title': 'Emily Erbelding, MD (she/her/hers)', 'affiliation': 'Director, Division of Microbiology and Infectious Disease NIAID National Institutes of Health Rockville, MD, United States'}, {'title': 'Steven Schmitt, MD (he/him/his)', 'affiliation': 'Staff Physician Cleveland Clinic Foundation Cleveland, OH, United States'}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.75 hours of MOC CreditCNE Credits: Maximum of 1.75 hours of ANCC CreditACPE Credits: ACPE 1.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Emily Erbelding, MD:  No financial relationships to disclose', 'Steven K. Schmitt, MD:  No financial relationships to disclose']"
Wednesday,4:30 PM - 4:55 PM,BugHub Stage,,,,Physician Compensation Initiative - What does a Hospital/ Health System-Employed ID Physician Need to Know for Negotiations to be Successful?,,,,,,,['BugHub Stage'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,5:45 PM - 7:00 PM,JW Marriott - Platinum Ballroom,,,,BugBash - IDWeek Opening Reception,,,,,,,['Event'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,8:00 AM - 1:00 PM,408 B,,,,PW05 - Pediatric Fellows' Day,,,,,,,"['Global ID', 'Pediatric ID', 'Trainee', 'Transplant']","[{'title': 'C. Buddy Creech, MD, MPH', 'affiliation': 'Professor of Pediatric Infectious Diseases Vanderbilt Vaccine Research Program'}, {'title': 'Tanvi Sharma, MD, MPH (she/her/hers)', 'affiliation': ""Clinical Director and Associate Chief, Division of Infectious Diseases\r\nProgram Director, Pediatric Infectious Diseases Fellowship Program Boston Children's Hospital Boston, MA, United States""}, {'title': ""Sean O'Leary, MD, MPH (he/him/his)"", 'affiliation': ""Professor Adult and Child Consortium for Health Outcomes Research and Delivery Science University of Colorado School of Medicine and Children's Hospital Colorado Aurora, Colorado, United States""}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of 0 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'C. Buddy Creech, MD, MPH:  No relevant disclosure to display', ""Sean T. O'Leary, MD, MPH:  No financial relationships to disclose""]"
Wednesday,8:00 AM - 8:25 AM,BugHub Stage,,,,New AMA code rules and what it means for you,,,,,,,['BugHub Stage'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,8:00 AM - 12:00 PM,515 B,,,,PW06 - TB Workshop ($),,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee', 'COVID-19']","[{'title': 'Yukari Manabe, MD, FIDSA, FRCP (she/her/hers)', 'affiliation': 'Professor Johns Hopkins University School of Medicine Baltimore, MD, United States'}, {'title': 'Maunank Shah, MD, PhD', 'affiliation': 'Associate Professor Johns Hopkins Baltimore, MD, United States'}, {'title': 'Caitlin Reed, MD, MPH', 'affiliation': 'Medical Team Lead, Division of TB Elimination Centers for Disease Control and Prevention Atlanta, GA, United States'}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 4 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Yukari C. Manabe, MD, FIDSA, FRCP:  No relevant disclosure to display', 'Maunank Shah, MD, PhD:  No relevant disclosure to display', 'Caitlin Reed, MD, MPH:  No financial relationships to disclose']"
Wednesday,8:00 AM - 12:00 PM,515 A,,,,PW07 - Expanding Your Influence to Improve Antibiotic Use in Outpatient Settings ($),,,,,,,"['Adult ID', 'Pediatric ID', 'Trainee']","[{'title': 'Lisa Davidson, MD (she/her/hers)', 'affiliation': 'Medical Director, Antimicrobial Support Network Antimicrobial Support Network Atrium Health Charlotte, North Carolina, United States'}, {'title': 'Sarah Kabbani, MD, MSc', 'affiliation': 'Physician, Public Health DHQP Centers for Disease Control and Prevention Atlanta, GA, United States'}, {'title': 'Adam Hersh, MD, PhD', 'affiliation': 'Associate Professor Pediatric Infectious Diseases University of Utah School of Medicine Salt Lake City, UT, United States'}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 4 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Lisa Davidson, MD:  No financial relationships to disclose', 'Sarah Kabbani, MD, MSc:  No financial relationships to disclose', 'Adam Hersh, MD, PhD:  No financial relationships to disclose']"
Wednesday,8:00 AM - 12:00 PM,502 A,,,,PW08 - Infectious Disease Clinical Bootcamp for APPs  ($),,,,,,,"['Adult ID', 'Trainee']","[{'title': 'Leah Yoke, PA-C, MCHS', 'affiliation': 'Physician Assistant University of Washington; Fred Hutch Cancer Research Center Seattle, WA, United States'}, {'title': 'Courtney Russ-Friedman, MSN, FNP-BC', 'affiliation': 'Advanced Practice Provider Wake Forest Baptist Health Winston-Salem, NC, United States'}, {}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Leah H. Yoke, PA-C, MCHS:  No financial relationships to disclose', 'Courtney Russ-Friedman, MSN, FNP-BC:  No financial relationships to disclose']"
Wednesday,8:00 AM - 12:00 PM,502 B,,,,"PW09 - Pus, Slough and Drainage: Oh My! Hands-On Introduction to Wound Care for the ID Clinician ($)",,,,,,,"['Adult ID', 'Trainee']","[{'title': 'Ted Louie, MD (he/him/his)', 'affiliation': 'Associate Professor Division of Infectious Diseases University of Rochester Medical Center Rochester, New York, United States'}, {'title': 'Madhavi Ponnapalli, MD (she/her/hers)', 'affiliation': 'Associate Professor Mount Sinai Hospital New York, NY, United States'}, {'title': 'Julia Pilat, BSN RN, FNP-BC, PMHNP (she/her/hers)', 'affiliation': 'Wound Center Provider University of Rochester Rochester, NY, United States'}, {'title': 'Angela Adragna, BSN RN-BC CHRN CWCN', 'affiliation': 'Wound Care Consultant Wilmington VA Medical Center Wilmington , DE, United States'}, {'title': 'Igor Melnychuk, MD, CLT', 'affiliation': 'Chief, Wound Care Department Charles George VAMC'}, {'title': 'Catherine Graham, PA-C (she/her/hers)', 'affiliation': 'Physician Assistant Charles George VAMC Etowah , NC, United States'}, {'title': 'Tina Davis', 'affiliation': 'Licensed practical nurse/wound treatment associate Charles George VA Medical Center Nebo, NC, United States'}, {'title': 'Teresa Holbrook, BSN', 'affiliation': 'Registered Nurse Charles George VA Medical Center-Department of Veterans Affairs Marshall, NC, United States'}, {'title': 'Tracy Zivin-Tutela, MD (she/her/hers)', 'affiliation': 'Attending Physician UCI Health Los Alamitos'}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Ted Louie, MD:  No financial relationships to disclose', 'Madhavi Ponnapalli, MD:  No financial relationships to disclose', 'Julia A. Pilat, BSN RN, FNP-BC, PMHNP:  No financial relationships to disclose', 'Angela Adragna, BSN RN-BC CHRN CWCN:  No financial relationships to disclose', 'Igor Melnychuk, MD, CLT:  No financial relationships to disclose', 'Catherine E. Graham, PA-C:  No financial relationships to disclose', 'Tina B. Davis:  No financial relationships to disclose', 'Teresa Holbrook, BSN:  No financial relationships to disclose', 'Tracy Zivin-Tutela, MD:  No financial relationships to disclose']"
Wednesday,8:00 AM - 12:00 PM,304 ABC,,,,PW10 - Achieving Success and Scholarship as an Infectious Diseases Health Professions Educator Through Curriculum Development ($),,,,,,,"['Adult ID', 'Pediatric ID']","[{'title': 'Emily Abdoler, MD, MAEd', 'affiliation': 'Clinical Assistant Professor Division of Infectious Diseases University of Michigan Ann Arbor, MI, United States'}, {'title': 'Dana Blyth, MD (she/her/hers)', 'affiliation': 'Associate Professor Dept of Medicine Walter Reed National Military Medical Center, \r\nUniformed Services University Bethesda, MD, United States'}, {'title': 'Jehan Budak, MD (she/her/hers)', 'affiliation': 'Assistant Professor University of Washington, WA, United States'}, {'title': 'Saman Nematollahi, MD', 'affiliation': 'Assistant Professor University of Arizona Tucson, AZ, United States'}, {'title': 'Jennifer Spicer, MD, MPH', 'affiliation': 'Associate Professor of Medicine Infectious Diseases Emory University School of Medicine Atlanta, GA, United States'}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 4 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 4 hours of MOC CreditCNE Credits: Maximum of 4 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Dana M. Blyth, MD:  No financial relationships to disclose', 'Jehan Budak, MD:  No financial relationships to disclose', 'Saman Nematollahi, MD:  No financial relationships to disclose', 'Jennifer O. Spicer, MD, MPH:  No financial relationships to disclose']"
Wednesday,8:00 AM - 12:15 PM,403 A,,,,PW04 - Fellows' Day Workshop,,,,,,,"['Adult ID', 'Trainee']","[{'title': 'Molly Paras, MD', 'affiliation': 'Assistant Professor, Harvard Medical School Massachusetts General Hospital'}, {'title': 'Rajesh Gandhi, MD (he/him/his)', 'affiliation': 'Professor of Medicine Harvard Medical School Boston, MA, United States'}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of 0 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Molly Paras, MD:  No financial relationships to disclose', 'Rajesh Gandhi, MD:  No financial relationships to disclose']"
Wednesday,8:30 AM - 8:55 AM,BugHub Stage,,,,Physician Compensation Initiative - What does an Academic-Employed ID Physician Need to Know for Negotiations to be Successful?,,,,,,,['BugHub Stage'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,9:00 AM - 9:25 AM,BugHub Stage,,,,Physician Compensation Initiative - What does a Private Practice ID Physician Need to Know for Negotiations to be Successful?,,,,,,,['BugHub Stage'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,9:30 AM - 9:55 AM,Global BugHub Stage,,,,Untapped avenues - Opportunities available for a ID fellow from LMIC!,,,,,,,['Global BugHub Stage'],"[{'title': 'Akshatha Ravindra, MD', 'affiliation': 'Senior Resident Infectious Diseases AIIMS Jodhpur Jodhpur, Rajasthan, India'}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,10:00 AM - 10:25 AM,Global BugHub Stage,,,,Filling the Void: Empowering Clinical Microbiologists as Infectious Diseases Specialists in Low income countries,,,,,,,['Global BugHub Stage'],"[{'title': 'Akshatha Ravindra, MD', 'affiliation': 'Senior Resident Infectious Diseases AIIMS Jodhpur Jodhpur, Rajasthan, India'}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,10:00 AM - 10:25 AM,BugHub Stage,,,,How The New G2211 Code Can Be Used by ID Physicians,,,,,,,['BugHub Stage'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Wednesday,11:00 AM - 1:00 PM,BugHub - South Lobby,,,,Join Us in Giving Back at IDWeek 2024,,,,,,,['Event'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
