poster_id,source_url,track_code,track_name,session_type,presentation_id,title,date,time,timezone,location,presenting_author_name,presenting_author_title,presenting_author_institution,presenting_author_location,total_presenting_authors,total_co_authors,all_presenting_authors,all_co_authors
12,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=12,N10.,N10. Health Care-Associated Infections: Gram-negatives (MDR-GNR),,P-1073,"Clinical, microbiological characteristics and predictors of adverse outcomes in Chryseobacterium spp. bloodstream infections","Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Virtual,"Jinghao Nicholas Ngiam, MBBS",Associate Consultant,National University Health System,"Singapore, Singapore",1,3,"Jinghao Nicholas Ngiam, MBBS","Matthew CY Koh, MD; David M. Allen, MD; Ka Lip Chew, MBBS/B. Med. Sci., FRCPath, FRCPA"
13,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=13,S1.,S1. Antimicrobial Stewardship program development and implementation,,P-967,Antimicrobial Stewardship Program Supported by Infectious Disease Specialists and Consultations at a University-Affiliated Hospital Under Multiple Antimicrobial Shortages: Bayesian Structural Time Series Analysis,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Naoya Itoh, MD, DTM&H, PhD",Full Professor,Nagoya City University,"Nagoya, Aichi, Japan",1,5,"Naoya Itoh, MD, DTM&H, PhD","Nobumasa Okumura, MD; Shunsuke Kuriki, MS; Chiharu Wachino, PhD; Takanori Kawabata, MS; Nana Akazawa-Kai, MD"
14,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=14,N1.,N1. Health Care-Associated Infections: Occupational Infection Prevention,,P-1112,Factors Associated with Symptomatic Upper Respiratory Viral Infection Symptoms and Self-COVID-19 Testing in a Multicentre Irish Healthcare Worker Cohort,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Liam Townsend, MB PhD",Consultant,"St James's Hospital, Dublin, Ireland","Dublin, Dublin, Ireland",1,5,"Liam Townsend, MB PhD","Lisa Domegan, PhD; Wenzhou Wang, MSc; Siobhan Quirke, MB BCh BAO; Colm Bergin, MD; Catherine Fleming, M.B. B.Ch. B.A.O. (Hons), B.Sc. (Hons), MPH, FRCPI, FIDSA"
15,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=15,D4.,D4. Mycology,,P-1725,Computed tomography findings in biopsy proven invasive pulmonary mold infection: solid organ transplant versus hematologic malignancies (A 22-Year review),"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Virtual,"Hyeon Mu Jang, MD (he/him/his)",Physician,Asan medical center,"Seoul, Seoul-t'ukpyolsi, Republic of Korea",1,0,"Hyeon Mu Jang, MD (he/him/his)",
16,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=16,M1.,M1. Clinical studies of fungal infections,,P-1938,The Size of Pulmonary Invasive Mold Infection and Underlying Host Diseases,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Hyeon Mu Jang, MD (he/him/his)",Physician,Asan medical center,"Seoul, Seoul-t'ukpyolsi, Republic of Korea",1,0,"Hyeon Mu Jang, MD (he/him/his)",
17,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=17,D4.,D4. Mycology,,P-1726,Mucormycosis coinfection by plasma Mucorales PCR in patients with proven aspergillosis,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Virtual,"Hyeon Mu Jang, MD (he/him/his)",Physician,Asan medical center,"Seoul, Seoul-t'ukpyolsi, Republic of Korea",1,3,"Hyeon Mu Jang, MD (he/him/his)","Ji Yeon Kim, n/a; Hyeonji Seo, MD; Sung-Han Kim, n/a"
18,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=18,C3.,C3. Skin and soft tissue,,P-758,Single-Dose Long-acting Lipoglycopeptide Clinical Pathway for Treatment of Cellulitis in the Emergency Department: A How-to Guide Based on Real-World Implementation at a Community Hospital Health System,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Cole Orlikowski, PharmD, MBA (he/him/his)",PGY2 ID Pharmacy Resident,Henry Ford Hospital,"Detroit, MI, United States",1,4,"Cole Orlikowski, PharmD, MBA (he/him/his)","Nicholas Torney, PharmD, BCIDP; Aleah Hunt, PharmD; William Britton, MD; Cynthia Nichols, PhD"
19,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=19,S4.,S4. Antibiotic Stewardship: Special Populations,,P-859,Seeing Beyond the Culture: Smarter UTI Diagnosis in Spinal Cord Injury Patients,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Deborah Jimenez Jerez, MD","Infectious Disease Fellow, PGY 5",University of Miami/Jackson Memorial Health Sytem,"Miami, FL, United States",1,3,"Deborah Jimenez Jerez, MD","Maria D. Morel Almonte, MD (she/her/hers); Beatriz Restrepo, MD; Paola Lichtenberger, MD"
20,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=20,C7.,C7. Bacteremia,,P-40,"Characterization of ICU-Acquired Bloodstream Infections in a High-Complexity Institution in Bogotá, Colombia since 2017-2024.","Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Sung Jae Cho, Intensive care physician (he/him/his)",Bogota Colombia,Clínica Universitaria Colombia,"Bogota, Distrito Capital de Bogota, Colombia",1,2,"Sung Jae Cho, Intensive care physician (he/him/his)","Patricia Reyes Pabon, infectious disease phycisian; Jose Antonio Rojas Gambasica, intensive care physician"
21,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=21,A1.,A1. Novel Agents,,P-1184,Efficacy and Safety of Imipenem/Cilastatin/Relebactam (IMI/REL) in Treating Hospital-Acquired and Ventilator-Associated Bacterial Pneumonia: A Systematic Literature Review of Randomized Control Trials,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Emre Yucel, PhD",Principal Scientist,"Merck & Co., Inc.","North Wales, PA, United States",1,5,"Emre Yucel, PhD","Carolyn Cameron, MPH; Shalini Bagga, TBD; Vaneet Pal Kaur Khurana, Masters in Pharmacy; Prashant Soni, Masters in Pharmacy; Sachin Kumar, TBD"
22,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=22,A1.,A1. Novel Agents,,P-1185,Healthcare Resource Utilization (HCRU) of Critical Care Patients by Rank of Initiation from the Study of Prescribing patterns and Effectiveness of Ceftolozane/Tazobactam: Real-world Analysis (SPECTRA),"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Emre Yucel, PhD",Principal Scientist,"Merck & Co., Inc.","North Wales, PA, United States",1,9,"Emre Yucel, PhD","Alex Soriano, MD; Florian Thalhammer, MD; Stefan Kluge, Prof. Dr. med.; Pierluigi Viale, n/a; Mike Allen, PhD; Brune Akrich, MD; Jessica Levy, n/a; Huina Yang, MD, MBBS, FRCPath; Sundeep Kaul, PHD FRCP FFICM"
23,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=23,M2.,M2. Studies of fungal pathogenesis in patients with immune impairment,,P-1940,Incidence and Outcomes of Pneumocystis carinii Pneumonia in Autoimmune Inflammatory Rheumatic Diseases in Korea: Nationwide study,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Jin Nam Kim, MD. PhD",Professor,Hanyang University College of Medicine,"soengdong-gu, Seoul-t'ukpyolsi, Republic of Korea",1,6,"Jin Nam Kim, MD. PhD","Kang Ju Son, n/a; Wooyong Jeong, MD; Jin Su Park, MD; Bongyoung Kim, MD/PhD; Hee Kyoung Choi, MD; Heun Choi, MD"
24,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=24,M1.,M1. Clinical studies of fungal infections,,P-1937,Does Microbiological Clearance Impact Outcomes in Patients Contracting Candida auris?,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Hafsa Khan Tareen, MBBS (she/her/hers)",Doctor,Aga Khan University,"Multan, Punjab, Pakistan",1,4,"Hafsa Khan Tareen, MBBS (she/her/hers)","Samavia Mehmood, MBBS; Joveria Farooqi, FCPS Microbiology; Sadaf Zaka, M.Sc Biotechnology; Kauser Jabeen, MBBS, FCPS (Microbiology), MSc (Medical Mycology)"
25,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=25,N1.,N1. Health Care-Associated Infections: Occupational Infection Prevention,,P-1113,Comparison of Tuberculosis Exposure Frequency and Latent Tuberculosis Infection Rates Among Healthcare Workers by Occupational Classification,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Si-Ho Kim, MD, PhD (he/him/his)",Assistant professor,"Division of Infectious Diseases, Samsung Changwon Hospital, Sungkyunkwan University","Changwon, Kyongsang-namdo, Republic of Korea",1,3,"Si-Ho Kim, MD, PhD (he/him/his)","Seran Cheon, MA.; Cheon Hoo Jeon, MD; Yu Mi Wi, MD PhD"
26,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=26,J6.,J6. ID Workforce/Value of ID,,P-1877,Impact of Consultation Type on 30-Day Survival in Patients with Candidemia: Formal versus Automated Infectious Disease Consultation,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Si-Ho Kim, MD, PhD (he/him/his)",Assistant professor,"Division of Infectious Diseases, Samsung Changwon Hospital, Sungkyunkwan University","Changwon, Kyongsang-namdo, Republic of Korea",1,3,"Si-Ho Kim, MD, PhD (he/him/his)","Cheon Hoo Jeon, MD; Yu Mi Wi, MD PhD; Kyong Ran Peck, MD"
27,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=27,P3.,P3. Pediatric Viral studies (natural history and therapeutic),,P-542,Characteristics and Outcomes of Parainfluenza Virus Infection Among Patients with Sickle Cell Disease,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Sapna Pardasani, BDS, MPH (she/her/hers)",Associate Epidemiologist,St. Jude Children's Research Hospital,"Dallas, TX, United States",1,12,"Sapna Pardasani, BDS, MPH (she/her/hers)","Jose Amadeo A. Ferrolino, III, MD, MPH; Ronald H. Dallas, PhD; Megan Peterson, n/a; Pamela Merritt, BSN; Amanda Cole, n/a; Amber Davis, n/a; Ashleigh Gowen, RN, BSN; Tina Culley, BS; Kim J. Allison, RN; Randall Hayden, MD; Parul Rai, MD; Diego R. Hijano, MD, MSc (he/him/his)"
28,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=28,S6.,S6. Antibiotic Stewardship: Trends in Antimicrobial Prescribing,,P-908,Treatment Strategies and Outcomes for Carbapenem-Resistant Acinetobacter baumannii and Stenotrophomonas maltophilia Infections Before and After Institutional Treatment Guidance Implementation,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Christo Cimino, PharmD, BCIDP","Clinical Pharmacist Specialist, Infectious Diseases",Vanderbilt University Medical Center,"Nashville, TN, United States",1,3,"Christo Cimino, PharmD, BCIDP","Ryan Vathy, PharmD; Ben Ereshefsky, PharmD; Romney Humphries, PhD, D(ABMM), M(ASCP)"
29,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=29,P3.,P3. Pediatric Viral studies (natural history and therapeutic),,P-543,Role of respiratory viral infections in Airflow Obstruction after Pediatric Hematopoietic Cell Transplantation,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Sapna Pardasani, BDS, MPH (she/her/hers)",Associate Epidemiologist,St. Jude Children's Research Hospital,"Dallas, TX, United States",1,16,"Sapna Pardasani, BDS, MPH (she/her/hers)","Ali Y. Suliman, MD, MSc; Jose Amadeo A. Ferrolino, III, MD, MPH; Ronald H. Dallas, PhD; Megan Peterson, n/a; Pamela Merritt, BSN; Amanda Cole, n/a; Amber Davis, n/a; Ashleigh Gowen, RN, BSN; Kim J. Allison, RN; Randall Hayden, MD; Ying Li, MD & PhD; Dinesh Keerthi, MBA; Saumini Srinivasan, MD, MS; Gabriela Maron, MD, MS (she/her/hers); Brandon Triplett, MD; Diego R. Hijano, MD, MSc (he/him/his)"
30,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=30,D6.,D6. New diagnostics (formerly L2),,P-1998,An assessment of appropriate use of methicillin-resistant Staphylococcus aureus nasal PCR testing,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Virtual,"Pramodini Kale-Pradhan, Pharm.D. (she/her/hers)",Professor (Clinical),Wayne State University Eugene Applebaum College of Pharmacy and Health Sciences,"Detroit, MI, United States",1,3,"Pramodini Kale-Pradhan, Pharm.D. (she/her/hers)","Mary Beth Marshall, BS Pharmacy; Justin Zimmerman, Pharm.D.; Leonard Johnson, MD"
31,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=31,D6.,D6. New diagnostics (formerly L2),,P-1984,Assessing the clinical impact of the BioFire FilmArray Blood Culture Identification 2 (BCID2) Panel in the Selection of Effective Antibiotic Therapy at an Academic Medical Center,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Aamir S. Dave, PharmD",Pharmacy Resident,SUNY Downstate Health Sciences University,"Hicksville, NY, United States",1,1,"Aamir S. Dave, PharmD","Stanley Moy, PharmD, BCPS, BCIDP"
32,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=32,D6.,D6. New diagnostics (formerly L2),,P-1994,Faster than Culture. Use of 16/ITS Next-Generation Sequencing for Rapid Identification of Pathogens Directly from Brain/Cerebellar Samples.,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Jose Alexander, MD, D(ABMM), FCCM, CIC, SM/MB(ASCP), BCMAS","Director, Clinical Microbiologist",Advent Health Central Florida,"Orlando, FL, United States",1,0,"Jose Alexander, MD, D(ABMM), FCCM, CIC, SM/MB(ASCP), BCMAS",
33,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=33,I2.,I2. Pediatric Vaccines,,P-1462,No All Pneumococcus Serogroups Are the Same. Correlation of Serotype and Sequence Type (ST) by Multilocus Sequence Typing (MLST) in Invasive Isolates in Children.,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Jose Alexander, MD, D(ABMM), FCCM, CIC, SM/MB(ASCP), BCMAS","Director, Clinical Microbiologist",Advent Health Central Florida,"Orlando, FL, United States",1,0,"Jose Alexander, MD, D(ABMM), FCCM, CIC, SM/MB(ASCP), BCMAS",
34,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=34,H5.,H5. HIV: Complications and co-infections,,P-244,Blood Glucose Outcomes of Anti-retroviral Therapy Naïve Ugandan people with HIV with Pre-diabetes Mellitus Initiated on Dolutegravir for 48 weeks.,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Frank Mulindwa, MD",Internal medicine resident,"United Health Services, Wilson Hospital","Johnson City, NY, United States",1,2,"Frank Mulindwa, MD","Barbara Castelnuovo, MD; Jean-Marc Schwarz, PhD"
35,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=35,H5.,H5. HIV: Complications and co-infections,,P-245,Dolutegravir Use over 48 Weeks is Not Associated With Worsening Insulin Resistance and Pancreatic Beta Cell Function in a Cohort of HIV-infected Ugandan Adults,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Frank Mulindwa, MD",Internal medicine resident,"United Health Services, Wilson Hospital","Johnson City, NY, United States",1,4,"Frank Mulindwa, MD","Barbara Castelnuovo, MD; Jean-Marc Schwarz, PhD; Robert C. Bollinger, Jr., MD, MPH; Nele Brusselaers, PhD"
36,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=36,H5.,H5. HIV: Complications and co-infections,,P-243,Association Between Integrase inhibitor Use with Insulin Resistance and Incident Diabetes Mellitus in Persons Living with HIV: A Systematic Review and Meta-analysis,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Frank Mulindwa, MD",Internal medicine resident,"United Health Services, Wilson Hospital","Johnson City, NY, United States",1,4,"Frank Mulindwa, MD","Barbara Castelnuovo, MD; Jean-Marc Schwarz, PhD; Robert C. Bollinger, Jr., MD, MPH; Nele Brusselaers, PhD"
37,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=37,H4.,H4. HIV: Treatment,,P-372,"Accelerated Hyperglycemia in Persons with HIV Started on Dolutegravir, A hypothesis Building Insulin Kinetic Study","Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Frank Mulindwa, MD",Internal medicine resident,"United Health Services, Wilson Hospital","Johnson City, NY, United States",1,1,"Frank Mulindwa, MD","Jean-Marc Schwarz, PhD"
38,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=38,H4.,H4. HIV: Treatment,,P-373,Effect of Weight Gain on Blood Pressure in Ugandan Persons with HIV on Dolutegravir/Lamivudine/ Tenofovir Disoproxil Fumarate over 48 weeks.,"Monday, October 20, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Frank Mulindwa, MD",Internal medicine resident,"United Health Services, Wilson Hospital","Johnson City, NY, United States",1,1,"Frank Mulindwa, MD","Willington Amutuhaire, MD"
39,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=39,S4.,S4. Antibiotic Stewardship: Special Populations,,P-861,Incidence of Methicillin-Resistant Staphylococcus aureus (MRSA) in Sepsis of Unknown Source,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Jonah J. Farha, PharmD",PGY2 Infectious Diseases Pharmacy Resident,Oklahoma City VA Medical Center,"Oklahoma City, OK, United States",1,2,"Jonah J. Farha, PharmD","Sara Dreiling, PharmD; Stephanie Harding, PharmD, BCPS, BCIDP, FIDSA (she/her/hers)"
40,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=40,A2.,A2. PK/PD studies,,P-1252,Comparison of Vancomycin Dose for Trough and Area Under the Concentration – Time Curve Methods,"Tuesday, October 21, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Christina G. Rivera (O'Connor), Pharm.D",Pharmacist,Mayo Clinic,"Rochester, MN, United States",1,4,"Christina G. Rivera (O'Connor), Pharm.D","Ryan W. W. Stevens, Pharm.D. (he/him/his); Kristin Cole, M.Sc; Thomas J. Dilworth, PharmD; Lee P. Skrupky, PharmD"
41,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=41,J5.,J5. Quality Improvement,,P-2041,Implementing Revised Cefazolin Use Criteria within a Pharmacy-to-Dose Protocol to Improve Guideline-Concordant Antibiotic Prophylaxis in Beta-Lactam Allergic Surgical Patients,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Cole Orlikowski, PharmD, MBA (he/him/his)",PGY2 ID Pharmacy Resident,Henry Ford Hospital,"Detroit, MI, United States",1,13,"Cole Orlikowski, PharmD, MBA (he/him/his)","Gary Rajah, Jr., MD; Ryan Miller, DO; Christopher Ledtke, MD; Jonathan Bott, MD; Dennis Sula, MD; Christopher LaFond, MD, MPH, FACS; Olivia Juntila, MD; Matthew Satkowiak, PharmD, BCPS; Julie Parker, PharmD; Heidi Davidson, RPh; Jessica Maher, PharmD, BCPS; Cynthia Nichols, PhD; Nicholas Torney, PharmD, BCIDP"
42,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=42,J5.,J5. Quality Improvement,,P-2016,Optimizing Statin Use for Primary Prevention of Atherosclerotic Cardiovascular Disease in People Living with HIV,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Cherry Maung Maung Aye, MBBS (she/her/hers)",Internal Medicine Resident,Maimonides Medical Center,"Brooklyn, NY, United States",1,11,"Cherry Maung Maung Aye, MBBS (she/her/hers)","Usha Rathi, MBBS; Parversh Kumar Rathi, MBBS; Khine Nyein Chan, M.B,B.S; Myat Wint Thu, MBBS; Tina Zheng, PharmD; Samantha H. Cham, PharmD, BCPS; Yan Naing Tun, MBBS; May Thet Hmu Tun, MBBS; Yu Shia Lin, MD; Edward Chapnick, MD; Monica Ghitan, MD"
