session_id,source_url,primary_track,all_tracks,track_count,session_type,session_number,session_title,full_title,date,time,timezone,location,cme_hours,moc_hours,cne_hours,acpe_hours,acpe_number,pace_hours,ce_broker_hours,primary_speaker_name,primary_speaker_title,primary_speaker_department,primary_speaker_institution,primary_speaker_location,total_speakers,all_speakers,disclosure_count,disclosures,presentation_count,presentation_titles,presentation_times,presentation_speakers
11,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=11,,,0,Symposium,,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B312-B313,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Jill Blumenthal, MD MAS (she/her/hers)",Professor,,University of California San Diego,"San Diego, CA, United States",1,"Jill Blumenthal, MD MAS (she/her/hers)",1,"\1: Clinical Care Options: speaking fees; Gilead Biosciences: Advisor/Consultant, Grant/Research Support",2,Advancing Health Justice for Children | Planting Seeds for a Just Future: Navigating Forward Through Challenge and Change,3:15 PM - 3:40 PM | 3:40 PM - 4:05 PM,"Judith A. Guzman-Cottrill, DO (she/her/hers) | Oni Blackstock, MD, MHS"
12,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=12,,,0,Symposium,,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B312-B313,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Oni Blackstock, MD, MHS",Founder and Executive Director,,Health Justice,"New York, NY, United States",1,"Oni Blackstock, MD, MHS",1,"\1: Gilead Sciences: Honoraria; Viiv Healthcare: Advisor/Consultant, Honoraria",2,Advancing Health Justice for Children | Protecting the Marginalized: The Future of Transgender Care,3:15 PM - 3:40 PM | 4:05 PM - 4:30 PM,"Judith A. Guzman-Cottrill, DO (she/her/hers) | Jill Blumenthal, MD MAS (she/her/hers)"
13,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=13,,,0,Symposium,,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,82 - Changing the Things We Cannot Accept: Advancing Equity in an Anti-DEI Environment,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B312-B313,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Judith Guzman-Cottrill, DO (she/her/hers)","Professor, Pediatric Infectious Diseases",,Oregon Health & Science University,"Portland, OR, United States",1,"Judith Guzman-Cottrill, DO (she/her/hers)",1,\1: No financial relationships to disclose.,2,Planting Seeds for a Just Future: Navigating Forward Through Challenge and Change | Protecting the Marginalized: The Future of Transgender Care,3:40 PM - 4:05 PM | 4:05 PM - 4:30 PM,"Oni Blackstock, MD, MHS | Jill Blumenthal, MD MAS (she/her/hers)"
14,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=14,Adult ID,Adult ID; Epi & Infection Control; Investigative ID; Trainee,4,Meet-The-Professor,,16 - The Use of Point-of-Care Ultrasound in ID,16 - The Use of Point-of-Care Ultrasound in ID,"Monday, October 20, 2025",8:00 AM - 9:00 AM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Taison Bell,Taison Bell,,,,2,"Taison Bell; Lindsay Busch, MD (she/her/hers)",1,\1: No financial relationships to disclose.,2,Use of POCUS in the Diagnosis and Management of Sepsis and Septic Shock | Practical Questions: Incorporating POCUS Into ID Practice,8:00 AM - 8:30 AM | 8:30 AM - 9:00 AM,Dan Sweeney | Speaker TBD
15,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=15,,,0,Meet-The-Professor,,195 - You Do What? Combined ID Fellowships,195 - You Do What? Combined ID Fellowships,"Wednesday, October 22, 2025",8:00 AM - 9:00 AM,,B314,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Wei-Teng Yang, MD MPH (he/him/his)",,,Director of Infectious Diseases - Addiction Medicine Integration,"University of Pennsylvania School of Medicine, Division of Infectious Diseases",1,"Wei-Teng Yang, MD MPH (he/him/his)",1,\1: No financial relationships to disclose.,1,ID/CC,8:00 AM - 8:30 AM,"Lisa Bebell, MD, MSc"
16,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=16,Adult ID,Adult ID; Trainee,2,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Rajesh Gandhi, MD (he/him/his)",Professor of Medicine,,Harvard Medical School,"Boston, MA, United States",2,"Rajesh Gandhi, MD (he/him/his); Molly Paras, MD",2,\1: No financial relationships to disclose. | \1: No financial relationships to disclose.,22,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Introductions | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Global Health | Careers in Hospital Epidemiology and Infection Prevention | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:25 AM - 10:45 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
17,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=17,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Natasha Chida, MD, MSPH",Assistant Professor,,Johns Hopkins School of Medicine,"Baltimore, MD, United States",5,"Natasha Chida, MD, MSPH; Stuart Cohen, MD; Seth Cohen, MD (he/him/his); Jeannette Guarner, MD (she/her/hers); Sarah Turbett, MD",1,\1: No financial relationships to disclose.,21,Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Introductions | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Global Health | Careers in Hospital Epidemiology and Infection Prevention | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:25 AM - 10:45 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
18,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=18,,,0,Premeeting Workshop,,PW01 - Vincent T. Andriole ID Board Review Course ($),PW01 - Vincent T. Andriole ID Board Review Course ($),"Saturday, October 18, 2025",8:00 AM - 5:30 PM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Andrea Zimmer, MD, FACP, FIDSA",Associate Professor,Internal Medicine,University of Nebraska Medical Center,"Omaha, NE, United States",2,"Andrea Zimmer, MD, FACP, FIDSA; Stuart Cohen, MD",2,"\1: Allovir, Inc: Grant/Research Support | \1: AiCuris.: Grant/Research Support; Janssen Infectious Disease: Grant/Research Support; Pfizer, Inc.: Advisor/Consultant; Recursion pharmaceutical: Grant/Research Support",14,Introductory Remarks | Sexually Transmitted Infections | Mycobacteria Including TB | ID Mimics: Non-Infectious Causes of Elevated Temperature | ID Therapeutics: A Broad Overview | Bacterial Syndrome Pearls | Parasitic Diseases | Fungal Infections | Nervous System Infections and Mimics | Transplant Infections | HIV | Infection Control/Prevention | Viral Diseases (Non-HIV / Non-Transplant) | Vectorborne Infections,8:00 AM - 8:10 AM | 8:10 AM - 8:45 AM | 8:45 AM - 9:20 AM | 9:20 AM - 9:55 AM | 10:10 AM - 10:45 AM | 10:45 AM - 11:20 AM | 11:20 AM - 11:45 AM | 1:00 PM - 1:35 PM | 1:35 PM - 2:10 PM | 2:10 PM - 2:45 PM | 3:00 PM - 3:35 PM | 3:35 PM - 4:10 PM | 4:10 PM - 4:45 PM | 4:45 PM - 5:20 PM,"Andrea J. Zimmer, MD, FACP, FIDSA | Archana Reddy, MD (she/her/hers) | Lisa Armitige, MD, PhD | Barbara S. Taylor, MD, MS (she/her/hers) | Mukesh Patel, MD | Saira Butt, MD | Philip Budge, MD, PhD (he/him/his) | Thomas F. Patterson, MD, MACP, FIDSA (he/him/his) | Karen C. Bloch, MD, MPH | Jessica Lum, MD | Roy Gulick, MD, MPH (he/him/his) | Shruti K. Gohil, MD, MPH | Cody A. Chastain, MD MEHP FACP FIDSA (he/him/his) | Christopher Ohl, MD"
19,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=19,,,0,Premeeting Workshop,,PW01 - Vincent T. Andriole ID Board Review Course ($),PW01 - Vincent T. Andriole ID Board Review Course ($),"Saturday, October 18, 2025",8:00 AM - 5:30 PM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Christopher Ohl, MD",Professor of Medicine,,Wake Forest School of Medicine,"Winston Salem, NC, United States",1,"Christopher Ohl, MD",1,\1: No financial relationships to disclose.,14,Introductory Remarks | Sexually Transmitted Infections | Mycobacteria Including TB | ID Mimics: Non-Infectious Causes of Elevated Temperature | ID Therapeutics: A Broad Overview | Bacterial Syndrome Pearls | Parasitic Diseases | Fungal Infections | Nervous System Infections and Mimics | Transplant Infections | HIV | Infection Control/Prevention | Viral Diseases (Non-HIV / Non-Transplant) | Closing Remarks and Questions,8:00 AM - 8:10 AM | 8:10 AM - 8:45 AM | 8:45 AM - 9:20 AM | 9:20 AM - 9:55 AM | 10:10 AM - 10:45 AM | 10:45 AM - 11:20 AM | 11:20 AM - 11:45 AM | 1:00 PM - 1:35 PM | 1:35 PM - 2:10 PM | 2:10 PM - 2:45 PM | 3:00 PM - 3:35 PM | 3:35 PM - 4:10 PM | 4:10 PM - 4:45 PM | 5:20 PM - 5:30 PM,"Andrea J. Zimmer, MD, FACP, FIDSA | Archana Reddy, MD (she/her/hers) | Lisa Armitige, MD, PhD | Barbara S. Taylor, MD, MS (she/her/hers) | Mukesh Patel, MD | Saira Butt, MD | Philip Budge, MD, PhD (he/him/his) | Thomas F. Patterson, MD, MACP, FIDSA (he/him/his) | Karen C. Bloch, MD, MPH | Jessica Lum, MD | Roy Gulick, MD, MPH (he/him/his) | Shruti K. Gohil, MD, MPH | Cody A. Chastain, MD MEHP FACP FIDSA (he/him/his) | Andrea J. Zimmer, MD, FACP, FIDSA"
20,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=20,,,0,Premeeting Workshop,,PW01 - Vincent T. Andriole ID Board Review Course ($),PW01 - Vincent T. Andriole ID Board Review Course ($),"Saturday, October 18, 2025",8:00 AM - 5:30 PM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Cody Chastain, MD MEHP FACP FIDSA (he/him/his)",Associate Professor of Medicine,"Department of Medicine, Division of Infectious Diseases",Vanderbilt University Medical Center,"Nashville, TN, United States",1,"Cody Chastain, MD MEHP FACP FIDSA (he/him/his)",1,\1: No financial relationships to disclose.,14,Introductory Remarks | Sexually Transmitted Infections | Mycobacteria Including TB | ID Mimics: Non-Infectious Causes of Elevated Temperature | ID Therapeutics: A Broad Overview | Bacterial Syndrome Pearls | Parasitic Diseases | Fungal Infections | Nervous System Infections and Mimics | Transplant Infections | HIV | Infection Control/Prevention | Vectorborne Infections | Closing Remarks and Questions,8:00 AM - 8:10 AM | 8:10 AM - 8:45 AM | 8:45 AM - 9:20 AM | 9:20 AM - 9:55 AM | 10:10 AM - 10:45 AM | 10:45 AM - 11:20 AM | 11:20 AM - 11:45 AM | 1:00 PM - 1:35 PM | 1:35 PM - 2:10 PM | 2:10 PM - 2:45 PM | 3:00 PM - 3:35 PM | 3:35 PM - 4:10 PM | 4:45 PM - 5:20 PM | 5:20 PM - 5:30 PM,"Andrea J. Zimmer, MD, FACP, FIDSA | Archana Reddy, MD (she/her/hers) | Lisa Armitige, MD, PhD | Barbara S. Taylor, MD, MS (she/her/hers) | Mukesh Patel, MD | Saira Butt, MD | Philip Budge, MD, PhD (he/him/his) | Thomas F. Patterson, MD, MACP, FIDSA (he/him/his) | Karen C. Bloch, MD, MPH | Jessica Lum, MD | Roy Gulick, MD, MPH (he/him/his) | Shruti K. Gohil, MD, MPH | Christopher Ohl, MD | Andrea J. Zimmer, MD, FACP, FIDSA"
21,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=21,,,0,Premeeting Workshop,,PW01 - Vincent T. Andriole ID Board Review Course ($),PW01 - Vincent T. Andriole ID Board Review Course ($),"Saturday, October 18, 2025",8:00 AM - 5:30 PM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Philip Budge, MD, PhD (he/him/his)",Associate Professor,,Washington University St. Louis,"Saint Louis, MO, United States",1,"Philip Budge, MD, PhD (he/him/his)",1,\1: No financial relationships to disclose.,14,Introductory Remarks | Sexually Transmitted Infections | Mycobacteria Including TB | ID Mimics: Non-Infectious Causes of Elevated Temperature | ID Therapeutics: A Broad Overview | Bacterial Syndrome Pearls | Fungal Infections | Nervous System Infections and Mimics | Transplant Infections | HIV | Infection Control/Prevention | Viral Diseases (Non-HIV / Non-Transplant) | Vectorborne Infections | Closing Remarks and Questions,8:00 AM - 8:10 AM | 8:10 AM - 8:45 AM | 8:45 AM - 9:20 AM | 9:20 AM - 9:55 AM | 10:10 AM - 10:45 AM | 10:45 AM - 11:20 AM | 1:00 PM - 1:35 PM | 1:35 PM - 2:10 PM | 2:10 PM - 2:45 PM | 3:00 PM - 3:35 PM | 3:35 PM - 4:10 PM | 4:10 PM - 4:45 PM | 4:45 PM - 5:20 PM | 5:20 PM - 5:30 PM,"Andrea J. Zimmer, MD, FACP, FIDSA | Archana Reddy, MD (she/her/hers) | Lisa Armitige, MD, PhD | Barbara S. Taylor, MD, MS (she/her/hers) | Mukesh Patel, MD | Saira Butt, MD | Thomas F. Patterson, MD, MACP, FIDSA (he/him/his) | Karen C. Bloch, MD, MPH | Jessica Lum, MD | Roy Gulick, MD, MPH (he/him/his) | Shruti K. Gohil, MD, MPH | Cody A. Chastain, MD MEHP FACP FIDSA (he/him/his) | Christopher Ohl, MD | Andrea J. Zimmer, MD, FACP, FIDSA"
