co_authors_22_title,co_authors_16_title,presenting_authors_1_name,co_authors_21_title,co_authors_29_title,co_authors_37_affiliation,date,co_authors_11_affiliation,co_authors_39_title,co_authors_9_name,co_authors_28_affiliation,co_authors_17_title,co_authors_17_affiliation,trackname,co_authors_18_affiliation,co_authors_5_name,poster_id,co_authors_38_affiliation,presenting_authors_1_affiliation,co_authors_37_title,co_authors_32_name,co_authors_33_affiliation,co_authors_32_title,other_authors,other_authors_1_title,co_authors_11_name,co_authors_29_name,co_authors_6_title,co_authors_6_affiliation,co_authors_7_name,other_authors_1_affiliation,co_authors_24_title,co_authors_20_title,co_authors_9_title,co_authors_13_affiliation,co_authors_16_affiliation,co_authors_15_affiliation,co_authors_27_name,co_authors_34_name,co_authors_24_name,co_authors_27_affiliation,co_authors_31_title,co_authors_23_affiliation,co_authors_25_name,co_authors_39_affiliation,co_authors_33_title,co_authors_2_affiliation,co_authors_12_name,co_authors_5_title,co_authors_3_name,co_authors_26_affiliation,co_authors_39_name,co_authors_15_name,co_authors_38_name,co_authors_23_title,co_authors_35_name,co_authors_20_affiliation,error,co_authors_7_title,co_authors_4_name,co_authors_27_title,co_authors_4_title,co_authors_17_name,co_authors_19_title,co_authors_6_name,co_authors_5_affiliation,co_authors_7_affiliation,co_authors_24_affiliation,co_authors_30_name,co_authors_31_affiliation,co_authors_14_title,co_authors_19_name,co_authors_1_name,other_authors_1_name,co_authors_13_title,co_authors_34_affiliation,co_authors_30_title,co_authors_21_affiliation,co_authors_1_affiliation,co_authors_3_title,co_authors_21_name,url,co_authors_36_name,co_authors_1_title,co_authors_26_title,co_authors_36_affiliation,co_authors_19_affiliation,co_authors_8_title,time,co_authors_22_affiliation,co_authors_37_name,co_authors_15_title,co_authors_10_affiliation,presenting_authors_1_title,co_authors_2_name,co_authors_10_name,co_authors_29_affiliation,co_authors_36_title,co_authors_10_title,co_authors_8_name,co_authors,co_authors_12_title,co_authors_23_name,presenting_authors,co_authors_30_affiliation,location,co_authors_25_title,co_authors_18_name,co_authors_8_affiliation,title,co_authors_34_title,co_authors_14_name,co_authors_9_affiliation,sessionname,co_authors_16_name,co_authors_2_title,co_authors_33_name,co_authors_26_name,co_authors_18_title,co_authors_38_title,co_authors_14_affiliation,co_authors_28_title,co_authors_28_name,co_authors_35_affiliation,co_authors_25_affiliation,co_authors_31_name,co_authors_4_affiliation,co_authors_12_affiliation,co_authors_11_title,co_authors_22_name,co_authors_3_affiliation,co_authors_20_name,co_authors_13_name,co_authors_32_affiliation,co_authors_35_title
,,Jasper Victoria Leelarani Martinraj (she/her/hers),,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,693609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harini Senthil, Pharm.D (Doctor of Pharmacy)",,,,,,,,,,"Keren Ann George, Pharm.D (Doctor of Pharmacy)",,"Assistant ProfessorC. L. Baid Metha College of PharmacyChennai, Tamil Nadu, India",,,,,,,,,,,"Bibila Samuel, Pharm.D (Doctor of Pharmacy)",,,,,,,"Intern-Clinical pharmacistC. L. Baid Metha College of PharmacyChennai, Tamil Nadu, India",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=270,,"Intern-Clinical pharmacistC. L. Baid Metha College of PharmacyChennai, Tamil Nadu, India",,,,,12:15 PM – 1:30 PM US PT,,,,,"Intern-Infectious Diseases and Clinical PharmacistC. L. Baid Metha College of PharmacyChennai, Tamil Nadu, India","Feba Mary Thomas, Pharm.D (Doctor of Pharmacy)",,,,,,,,,,,Location: Virtual,,,,(P-1792) Impact of Integrated Interventions of Prescriber Education and De-escalation Strategies on Implementing WHO Access: Watch Targets: Insights from a South Indian Tertiary Care Setting,,,,Poster Session:,,"Intern-Clinical pharmacistC. L. Baid Metha College of PharmacyChennai, Tamil Nadu, India",,,,,,,,,,,,,,,,,,,
,,Jasper Victoria Leelarani Martinraj (she/her/hers),,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,693576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pooja P, B.Sc",,,,,,,,,,"Shanmugam J, B.Sc",,"Physician AssistantMadras Medical FoundationChennai, Tamil Nadu, India",,,,,,,,,,,"Sureshkumar Dorairajan, M.D, FNB (Inf Dis)",,,,,,,"Physician AssistantMadras Medical FoundationChennai, Tamil Nadu, India",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=271,,"Consultant, Co-founderBest of IDsChennai, Tamil Nadu, India",,,,,12:15 PM – 1:30 PM US PT,,,,,"Intern-Infectious Diseases and Clinical PharmacistC. L. Baid Metha College of PharmacyChennai, Tamil Nadu, India","Surendhar Amargeeth, Pharm.D (Doctor of Pharmacy)",,,,,,,,,,,Location: Virtual,,,,(P-1793) Revitalizing Antibiotic Selection Through De-labeling of Outdated Antibiotic Allergies: Insights to Improving Antimicrobial Stewardship from South India,,,,Poster Session:,,"Intern-Infectious Diseases and Clinical PharmacistVISTASChennai, Tamil Nadu, India",,,,,,,,,,,,,,,,,,,
,,"Lisa Davidson, MD (she/her/hers)",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,"Susan Bear, PharmD",694028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Assistant Vice President Clinical Pharmacy ServicesAtrium HealthCharlotte, North Carolina, United States","Susan Kelly, CPhT",,,,,,,,,,"Tim Pasquale, PharmD",,"Director of PharmacyAtrium HealthCharlotte, North Carolina, United States",,,,,,,,,,,"Jennifer Onsrud, PharmD",,,,,,,"Pharmacy TechnicianAtriumHealthCharlotte, North Carolina, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=272,,"PharmDAtrium Healthcharlotte, North Carolina, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Medical Director, Antimicrobial Support NetworkAtrium HealthCharlotte, North Carolina, United States","Katie Lynn Hammer, Pharm.D., BCPS-AQ ID, BCIDP (she/her/hers)",,,,,,,,,,,Location: Halls JK,,,,(P-1794) Evaluating the Impact of a Pharmacy Technician in an Antimicrobial Stewardship Program,,,,Poster Session:,,"Clinical Pharmacy Specialist, Infectious Diseases, Clinical Team LeaderAtrium HealthMount Pleasant, South Carolina, United States",,,,,,,,,,,,,,,,,,,
,,"Jeannette Bouchard, PharmD, BCIDP (she/her/hers)",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,"Elizabeth Dodds Ashley, PharmD, MHS",693517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Duke Center for Antimicrobial Stewardship and Infection PreventionDurham, North Carolina, United States","Angelina Davis, PharmD, M.S.",,,,,,,,,,"Deverick J. Anderson, MD, MPH",,"ProfessorDuke Center for Antimicrobial Stewardship and Infection PreventionDurham, NC, United States",,,,,,,,,,,"April Dyer, PharmD, MBA, MSCR, BCPS",,,,,,,"DASON Liaison Clinical PharmacistDuke Center for Antimicrobial Stewardship and Infection PreventionDurham, North Carolina, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=273,,"DASON Liaison Clinical PharmacistDuke Center for Antimicrobial Stewardship and Infection PreventionDurham, North Carolina, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Antimicrobial Stewardship PharmacistDASONElgin, South Carolina, United States","Melissa D. Johnson, PharmD MHS AAHIVP (she/her/hers)",,,,,,,,,,,Location: Halls JK,,,,"(P-1795) Antimicrobial Stewardship Knowledge, Attitudes, and Practices (KAP) Among Health Care Providers in a Community Hospital Network",,,,Poster Session:,,"Professor of MedicineDuke UniversityDurham, North Carolina, United States",,,,,,,,,,,,,,,,,,,
,,"Joana Dimo, DO (she/her/hers)",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,"Christopher A. Czaja, MD, DrPH",693792,,,,,,,,,,,"University of Colorado/Children's Hospital ColoradoAurora, Colorado, United States",,"Timothy C. Jenkins, MD (he/him/his)",,,,,,,,,,,,,,,,,,,"Colorado Department of Public Health and EnvironmentDenver, Colorado, United States","Lauren Biehle, PharmD, BCPS, BCIDP (she/her/hers)",,,,,,,,,"Associate ProfessorDenver HealthDenver, Colorado, United States","Michael J. Bozzella, DO, MS (he/him/his)",,"Assistant Professor of Pediatrics Children's Hospital ColoradoAurora, CO, United States",,,"Leigh Anne Bakel, MD",,,,,,,,"Matthew J. Weber, MPH",,,,,,,"Antimicrobial Stewardship Pharmacy LeadColorado Department of Public Health and EnvironmentDenver, Colorado, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=274,,"University of Colorado/Children's Hospital ColoradoAurora, Colorado, United States",,,,"Professor of Pediatric Infectious DiseasesUniversity of Colorado/Children's Hospital ColoradoAurora, CO, United States",12:15 PM – 1:30 PM US PT,,,,,"Pediatric Infectious Diseases FellowUniversity of Colorado/Children's Hospital ColoradoDenver, Colorado, United States","Matthew Miller, PharmD, BCPS AQ-ID",,,,,"Sarah K. Parker, MD",,,,,,Location: Halls JK,,,,"(P-1796) Uptake, Utilization, and Satisfaction of a Mobile Application Decision Support Tool to Enhance Antimicrobial Stewardship in Colorado?",,,,Poster Session:,,"Children's Hospital ColoradoAurora, Colorado, United States",,,,,,,,,,,,,,,,,,,
,,"Joseph Stromberg, MD",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,693494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley H. Marx, PharmD",,,,,,,,,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=275,,"Clinical Pharmacy Specialist, Infectious Diseases University of North Carolina Medical CenterChapel Hill, North Carolina, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"ID FellowUNC Medical CenterDurham, North Carolina, United States","Nikolaos Mavrogiorgos, MD",,,,,,,,,,,Location: Virtual,,,,(P-1797) Implementation of a Handshake Stewardship Pilot for Inpatient General Medicine Teams at an Academic Medical Center,,,,Poster Session:,,"Medical Director, Carolina Antimicrobial Stewardship ProgramUniversity of North Carolina Medical CenterChapel Hill, North Carolina, United States",,,,,,,,,,,,,,,,,,,
,,"Julia E. Szymczak, PhD (she/her/hers)",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,"Keith W. Hamilton, MD (he/him/his)",693797,,,,,,,,,,,"Children's Hospital of PhiladelphiaPhiladelphia, Pennsylvania, United States",,"Jeffrey S. Gerber, MD, PhD (he/him/his)",,,,,,,,,,,,,,,,,,,"Professor of Clinical MedicineUniversity of Pennsylvania Perelman School of MedicinePhiladelphia, Pennsylvania, United States","Ebbing Lautenbach, MD, MPH, MSCE",,,,,,,,,"Professor of Pediatrics and EpidemiologyChildren's Hospital of PhiladelphiaPhiladelphia, PA, United States","Melinda M. Neuhauser, PharmD, MPH",,"Pharmacist and Acute Care Lead, Office of Antibiotic StewardshipDivision of Healthcare Quality Promotion, Centers for Disease Control and Prevention,Atlanta, GA, United States",,,"Robert Grundmeier, MD",,,,,,,,"Kathleen Chiotos, MD, MSCE (she/her/hers)",,,,,,,"Professor of Medicine and EpidemiologyUniversity of PennsylvaniaPhiladelphia, Pennsylvania, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=276,,"Assistant ProfessorChildren's Hospital of PhiladelphiaPhiladelphia, PA, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Associate ProfessorUniversity of Utah School of MedicineSalt Lake City, Utah, United States","Lauren Dutcher, MD MSCE (she/her/hers)",,,,,,,,,,,Location: Halls JK,,,,(P-1798) Acceptability and Feasibility of Inpatient Group-Level Feedback to Prescribers About Antibiotic Appropriateness for Community-Acquired Pneumonia: A Survey Study,,,,Poster Session:,,"Assistant Professor of MedicineUniversity of Pennsylvania Perelman School of MedicinePhiladelphia, Pennsylvania, United States",,,,,,,,,,,,,,,,,,,
,,"Hiroshi Kakeya, MD, PhD",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,694009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayumi Shintani, PhD",,,,,,,,,,,,,,,,,,,,,,,"Shigeki Kakuno, MD (he/him/his)",,,,,,,"ProfessorOsaka Metropolitan University Graduate School of MedicineOsaka, Osaka, Japan",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=277,,"MDOsaka Metropolitan University Graduate School of MedicineOsaka, Osaka, Japan",,,,,12:15 PM – 1:30 PM US PT,,,,,"ProfessorOsaka Metropolitan UniversityOsaka, Osaka, Japan","Waki Imoto, n/a",,,,,,,,,,,Location: Halls JK,,,,(P-1799) Impact of coronavirus disease 2019 on infectious disease treatment and infection control: Multicenter study in Japan,,,,Poster Session:,,"Osaka Metropolitan UniversityOsaka, Osaka, Japan",,,,,,,,,,,,,,,,,,,
,,"Katherine M. Shea, PharmD, BCIDP",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,693470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jessica Sun, n/a",,,,,,,,,,,,,,,,,,,,,,,"Athena L.V Hobbs, PharmD, BCIDP (she/her/hers)",,,,,,,"Cardinal HealthDublin, Ohio, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=278,,"Infectious Diseases Clinical Pharmacy ManagerCardinal HealthDublin, Ohio, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Director, Infectious Diseases, Innovative Delivery SolutionsCardinal HealthAustin, Texas, United States","Steve Lundquist, Sr., PharmD",,,,,,,,,,,Location: Virtual,,,,(P-1800) Antimicrobial Stewardship Compliance with Accreditation Requirements within a Hospital Pharmacy Organization,,,,Poster Session:,,"Cardinal HealthDublin, Ohio, United States",,,,,,,,,,,,,,,,,,,
,,"Kaylee E. Caniff, PharmD, BCIDP",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,"Callan Bleick, PharmD (she/her/hers)",693692,,,,,,,,,,,"Infectious Diseases Clinical Pharmacy SpecialistDetroit Receiving HospitalDetroit, Michigan, United States",,"Michael J. Rybak, PharmD, PhD, MPH",,,,,,,,,,,,,,,,,,,"Postdoctoral Research FellowAnti-Infective Research Laboratory, College of Pharmacy and Health Sciences, Wayne State University, Detroit, MI, Wayne State University School of Medicine, Department of Microbiology and Immunology, Detroit, MIDetroit, Michigan, United States","Carolina Orzol, PharmD candidate",,,,,,,,,"ProfessorEugene Applebaum College of Pharmacy and  Health SciencesDetroit, Michigan, United States","Mohammed Al Musawa, PharmD, BCIDP (he/him/his)",,"Postdoctoral fellowWayne State UniversityDetroit, Michigan, United States",,,"Marco R. Scipione, PharmD, BCPS-AQ ID, BCIDP",,,,,,,,"Ashlan Kunz Coyne, B.S., PharmD, MPH",,,,,,,"Anti-Infective Research Laboratory, College of Pharmacy and Health Sciences, Wayne State UniversityDetroit, Michigan, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=279,,"Assistant ProfessorUniversity of Kentucky College of PharmacyLexington, Kentucky, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Postdoctoral Research FellowAnti-Infective Research Lab, Eugene Applebaum College of Pharmacy and Health Sciences, Wayne State UniversityRoyal Oak, Michigan, United States","Chloe Judd, MPH",,,,,,,,,,,Location: Halls JK,,,,(P-1801) Optimizing Antimicrobial Therapy in Gram-Negative Bloodstream Infections: Insights from a Pharmacist-Driven Intervention Leveraging Molecular Rapid Diagnostic Testing,,,,Poster Session:,,"Wayne State UniversityDetroit, Michigan, United States",,,,,,,,,,,,,,,,,,,
,,"Lauren Biehle, PharmD, BCPS, BCIDP (she/her/hers)",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,693706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christopher D. Evans, PharmD",,,,,,,,,,,,,,,,,,,,,,,"Katie A. Thure, MD, MPH (she/her/hers)",,,,,,,"PharmacistTennessee Department of HealthNashville, Tennessee, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=280,,"EpidemiologistTennessee Department of HealthNashville, Tennessee, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Antimicrobial Stewardship Pharmacy LeadColorado Department of Public Health and EnvironmentDenver, Colorado, United States","Dipen Patel, MBBS, MPH,MPM",,,,,,,,,,,Location: Halls JK,,,,(P-1802) Assessing the Effectiveness and Essentialness of Antimicrobial Stewardship Practices in Multiple States,,,,Poster Session:,,"Data  Steward - EpidemiologistHAI/AR, Tennessee Department of HealthNashville, Tennessee, United States",,,,,,,,,,,,,,,,,,,
,,"Lucy S. Witt, MD, MPH, MSc (she/her/hers)",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,693908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sujit Suchindran, MD, M.P.H. (he/him/his)",,,,,,,,,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=281,,"Associate Professor of MedicineEmory University School of MedicineAtlanta, GA, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Assistant ProfessorEmory UniversityAtlanta, Georgia, United States","Marisa Winkler, MD, PhD",,,,,,,,,,,Location: Halls JK,,,,(P-1803) Why We Do What We Do: A Survey of ID Providers About Oral Antibiotics,,,,Poster Session:,,"Associate DirectorElement Materials Technology/Jones Microbiology InstituteNorth Liberty, Iowa, United States",,,,,,,,,,,,,,,,,,,
,,"Monica Abdelnour, MD (she/her/hers)",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,694025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Evan E. Facer, DO",,,,,,,,,,"Jason G. Newland, MD, MEd",,"Washington University in St. Louis School of MedicineSt. Louis, Missouri, United States",,,,,,,,,,,"Christine Lockowitz, PharmD, BCIDP",,,,,,,"St. Louis Children's HospitalSt. Louis, Missouri, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=282,,"St. Louis Children's HospitalSt. Louis, Missouri, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"FellowWashington UniversitySt. Louis, Missouri, United States","Matthew Sattler, MD (he/him/his)",,,,,,,,,,,Location: Halls JK,,,,(P-1804) Evaluating Implementation Outcomes of Stewardship Interventions for Rapid Blood Culture Diagnostics,,,,Poster Session:,,"Fellow in Pediatric Infectious DiseasesWashington University in St. Louis School of Medicine, Department of Pediatrics, Division of Infectious DiseasesSaint Louis, Missouri, United States",,,,,,,,,,,,,,,,,,,
,"Associate ProfessorUniversity of CalgaryCalgary, Alberta, Canada","Matthew Penney, BSc (he/him/his)",,,,"Saturday, October 19, 2024",,,"Laura Vivas, n/a",,"Infectious Diseases FellowUniversity of CalgaryCalgary, Alberta, Canada",,S1. Antimicrobial Stewardship program development and implementation,,"Rhonda Clark, PhD",693762,,,,,,,,,"Nicole Acosta, PhD",,"The University of CalgaryCalgary, Alberta, Canada",,"Susana Kimura-Hara, MSc PhD",,,,"University of CalgaryCalgary, Alberta, Canada",,,,,,,,,,,,,,"Barbara Jean M. Waddell, BSc","University of CalgaryCalgary, Alberta, Canada","Kayla Moffett, BSc",,,"John Conly, MD",,,,,,"Analytical ChemistThe University of CalgaryCalgary, Alberta, Canada","Christine O'Grady, M.Sc.",,"Executive DirectorUniversity of CalgaryCalgary, Alberta, Canada","Benson Weyant, MD MSc",,"Diego Nobrega, BVSc, MSc, PhD",,,,,,"Pharmacist/Clinical Practice LeaderAlberta Health ServicesCalgary, Alberta, Canada",,"Darina Kuzma, MSc, PhD",,"University of CalgaryCalgary, Alberta, Canada",,,,,"Environmental ChemistThe University of CalgaryCalgary, Alberta, Canada",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=283,,"Laboratory ManagerThe University of CalgaryCalgary, Alberta, Canada",,,,"University of CalgaryCalgary, Alberta, Canada",12:15 PM – 1:30 PM US PT,,,"University of CalgaryCalgary, Alberta, Canada",,"MSc/MD StudentThe University of CalgaryCalgary, Alberta, Canada","Aleshia Kormendi, BSc","Chloe Papparis, n/a",,,"University of CalgaryCalgary, Alberta, Canada","Janine McCalder, BSc",,"Lab ManagerUniversity of CalgaryCalgary, Alberta, Canada",,,,Location: Halls JK,,"Elissa Rennert-May, MD MSc",,(P-1805) Identifying Hospital Antimicrobial Usage Trends Using Wastewater Based Surveillance,,"Bruce Dalton, BPharm",,Poster Session:,"Michael Parkins, MD, MSc","ChemistThe University of CalgaryCalgary, Alberta, Canada",,,"University of CalgaryCalgary, Alberta, Canada",,,,,,,,,,"Research AssociateUniversity of CalgaryCalgary, Alberta, Canada",,,,"Casey RJ Hubert, PhD",,
,,"Meaghan Martinez-Palmer, DO (she/her/hers)",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,,693906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parisa F. Khan, PharmD, BCIDP",,,,,,,,,,,,,,,,,,,,,,,"Adenike Olabode, PharmD",,,,,,,"Antimicrobial Stewardship Clinical Pharmacist PractitionerMichael E. DeBakey Veterans Affairs Medical CenterHouston, Texas, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=284,,"MEDVAMCHouston, Texas, United States",,,,,12:15 PM – 1:30 PM US PT,,,,,"Infectious Disease FellowBaylor College of MedicineHouston, Texas, United States","Teena Xu, MD",,,,,,,,,,,Location: Halls JK,,,,(P-1806) ABLE to De-Label: Liberating Patients from Penicillin Chart Allergies,,,,Poster Session:,,"Assistant ProfessorBaylor College of Medicine, Houston VAHouston, Texas, United States",,,,,,,,,,,,,,,,,,,
,,"Michihiko Goto, MD MSCI (he/him/his)",,,,"Saturday, October 19, 2024",,,"Kari A. Mergenhagen, PharmD",,,,S1. Antimicrobial Stewardship program development and implementation,,"Kelly Echevarria, PharmD, BCPS AQ-ID, BCIDP",693688,,,,,,,,,"David Hernandez, BA",,"Research Health ScientistIowa City VA Medical CenterIowa City, Iowa, United States",,"Matthew B. Goetz, MD",,,,"Infectious Disease PharmacistVA WNY Healthcare SystemBuffalo, New York, United States",,,,,,,,,,,,,,"Daniel J. Livorsi, MD","National Clinical Pharmacy Program Manager for Infectious DiseasesPharmacy Benefits Management, Department of Veterans AffairsSan Antonio, Texas, United States","Heather Davila, PhD",,,,,,,,,"Chief, Infectious DiseasesVA Greater Los Angeles Healthcare SystemLos Angeles, California, United States","Dimitri M. Drekonja, MD, MS",,"Chief of Infectious DiseasesMinneapolis VA Health Care SystemMinneapolis, Minnesota, United States",,,"Cassie Cunningham Goedken, MPH",,,,,,,,"Tamar F. Barlam, MD, MSc",,,,,,,"University of Iowa Carver College of MedicineIowa City, Iowa, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=285,,"Chief, Section of Infectious DiseasesBoston Medical CenterBoston, Massachusetts, United States",,,,"Associate ProfessorWashington University in St. LouisSaint Louis, MO, United States",12:15 PM – 1:30 PM US PT,,,,,"Associate ProfessorUniversity of Iowa/Iowa City VAMCIowa City, Iowa, United States","Sara E. Cosgrove, MD, MS","Lindsay Taylor, MD, MS (she/her/hers)",,,"Assistant ProfessorUniversity of Wisconsin School of Medicine and Public HealthMadison, Wisconsin, United States","Kevin Hsueh, MD (he/him/his)",,"Associate ProfessorUniversity of Iowa Carver College of MedicineIowa City, Iowa, United States",,,,Location: Halls JK,,,,(P-1807) Using The Modified Delphi Method to Create Expert Consensus for Candidate Variables for Risk-Adjusted Benchmarking Metrics of Hospital Antimicrobial Consumption,,,,Poster Session:,,"Professor of MedicineJohns Hopkins School of MedicineBaltimore, MD, United States",,,,,,,,,,,,,"Iowa City VA Health Care SystemIowa City, Iowa, United States",,,,,,
,,"Michael Pulia, MD PhD",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,"Sarah Scalzo, BS",693868,,,,,,,,,,,"Assistant Professor of MedicineUniversity of Wisconsin School of Medcine and Public HealthMadison, WI, United States",,"Lucas Schulz, PharmD",,,,,,,,,,,,,,,,,,,"University of Wisconsin MadisonMADISON, Wisconsin, United States","Helena Ikenberry, n/a",,,,,,,,,"University of Wisconsin Hospital and ClinicsMadison, Wisconsin, United States","Ashleen Kaur, n/a",,"University of Wisconsin MadisonMADISON, Wisconsin, United States",,,"Aurora E. Pop-Vicas, MD, MPH",,,,,,,,"Rebecca Schwei, MPH",,,,,,,"University of Wisconsin MadisonMADISON, Wisconsin, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=286,,"University of Wisconsin-MadisonMadison, Wisconsin, United States",,,,"Indiana University School of Public Health-BloomingtonBloomington, Indiana, United States",12:15 PM – 1:30 PM US PT,,,,,"Associate ProfessorUniversity of Wisconsin-MadisonMadison, Wisconsin, United States","Meggie Griffin, MS",,,,,"Nicole werner, PhD",,,,,,Location: Halls JK,,,,(P-1808) Strategies for Antimicrobial Stewardship Program Resiliency During the COVID-19 Pandemic,,,,Poster Session:,,"University of Wisconsin - MadisonMadison, Wisconsin, United States",,,,,,,,,,,,,,,,,,,
,,"Michael Pulia, MD PhD",,,,"Saturday, October 19, 2024",,,,,,,S1. Antimicrobial Stewardship program development and implementation,,"Ashleen Kaur, n/a",693858,,,,,,,,,,,"Assistant Professor of MedicineUniversity of Wisconsin School of Medcine and Public HealthMadison, WI, United States",,"Lucas Schulz, PharmD",,,,,,,,,,,,,,,,,,,"University of Wisconsin MadisonMADISON, Wisconsin, United States","Sarah Scalzo, BS",,,,,,,,,"University of Wisconsin Hospital and ClinicsMadison, Wisconsin, United States","Helena Ikenberry, n/a",,"University of Wisconsin MadisonMADISON, Wisconsin, United States",,,"Aurora E. Pop-Vicas, MD, MPH",,,,,,,,"Meggie Griffin, MS",,,,,,,"University of Wisconsin MadisonMADISON, Wisconsin, United States",,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=287,,"University of Wisconsin - MadisonMadison, Wisconsin, United States",,,,"Indiana University School of Public Health-BloomingtonBloomington, Indiana, United States",12:15 PM – 1:30 PM US PT,,,,,"Associate ProfessorUniversity of Wisconsin-MadisonMadison, Wisconsin, United States","Rebecca Schwei, MPH",,,,,"Nicole werner, PhD",,,,,,Location: Halls JK,,,,(P-1809) Strategies to Optimize Antibiotic Stewardship for Patients with COVID-19 Using a Systems Engineering Framework,,,,Poster Session:,,"University of Wisconsin-MadisonMadison, Wisconsin, United States",,,,,,,,,,,,,,,,,,,
