presenting_author_details,presenting_author_name,co_authors,poster_id,url,error
"Principal Scientist;Merck & Co., Inc., Rahway, NJ, USA;Philadelphia, Pennsylvania, United States","Kevin Bakker, PhD","[{'name': 'Giulio Meleleo, PhD', 'details': 'Wolfram Research, Inc.;Champaign, Illinois, United States'}, {'name': 'Oluwaseun Sharomi, MSc, PhD', 'details': 'Principal Scientist;Merck & Co., Inc.;Lansdale, Pennsylvania, United States'}, {'name': 'Robert Nachbar, PhD', 'details': 'Wolfram Research, Inc.;Champaign, Illinois, United States'}, {'name': 'Rachel Oidtman, PhD', 'details': 'Associate Principal Scientist;Merck & Co., Inc.;Lansdale, Pennsylvania, United States'}]",695184,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=11,
"Clinical instructor;King Chulalongkorn Memorial Hospital, Krung Thep, Thailand","Pawat Phuensan, MD, MSc (he/him/his)",[],694821,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=12,
"Co-Investigator;Kaiser Permanente Southern California;Pasadena, California, United States","Bradley Ackerson, MD (he/him/his)","[{'name': 'Emily Rayens, PhD, MPH (she/her/hers)', 'details': 'Post-Doctoral Research Fellow;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Lina S. Sy, MPH', 'details': 'Ms.;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Lei Qian, PhD', 'details': 'Research Scientist I;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Jun Wu, MD, MS', 'details': 'Biostatistician II;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Bradley Ackerson, MD (he/him/his)', 'details': 'Co-Investigator;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Yi Luo, PhD', 'details': 'Dr.;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Yanjun Cheng, Master of Science', 'details': 'Kaiser Permanente South California;San Gabriel, California, United States'}, {'name': 'Avanish Patel, MD', 'details': 'Gastroenterology;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Zendi Solano, BS', 'details': 'Research Project Manager;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Justine De Jesus, MPH', 'details': 'Research Associate III;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Britta Amundsen, MA', 'details': 'Research Associate III;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Ana Florea, PhD, MPH', 'details': 'Post-Doctoral Research Fellow;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Jennifer H. Ku, PhD MPH (she/her/hers)', 'details': 'Post doctoral research fellow;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Elizabeth Chmielewski-Yee, PhD, MPH', 'details': 'GSK;Rockville, Maryland, United States'}, {'name': 'Driss Oraichi, PhD', 'details': 'GSK;Montreal, Quebec, Canada'}, {'name': 'Harry Seifert, MD. MSCE, FISPE', 'details': 'GSK;Wynnewood, Pennsylvania, United States'}, {'name': 'Huifeng Yun, MD, PhD', 'details': 'Epidemiologist;GSK;Rockville, Maryland, United States'}, {'name': 'Hung Fu Tseng, PhD MPH', 'details': 'Dr.;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Yi Luo, PhD', 'details': 'Dr.;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Yanjun Cheng, Master of Science', 'details': 'Kaiser Permanente South California;San Gabriel, California, United States'}, {'name': 'Avanish Patel, MD', 'details': 'Gastroenterology;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Zendi Solano, BS', 'details': 'Research Project Manager;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Justine De Jesus, MPH', 'details': 'Research Associate III;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Britta Amundsen, MA', 'details': 'Research Associate III;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Ana Florea, PhD, MPH', 'details': 'Post-Doctoral Research Fellow;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Jennifer H. Ku, PhD MPH (she/her/hers)', 'details': 'Post doctoral research fellow;Kaiser Permanente Southern California;Pasadena, California, United States'}, {'name': 'Elizabeth Chmielewski-Yee, PhD, MPH', 'details': 'GSK;Rockville, Maryland, United States'}, {'name': 'Driss Oraichi, PhD', 'details': 'GSK;Montreal, Quebec, Canada'}, {'name': 'Harry Seifert, MD. MSCE, FISPE', 'details': 'GSK;Wynnewood, Pennsylvania, United States'}, {'name': 'Huifeng Yun, MD, PhD', 'details': 'Epidemiologist;GSK;Rockville, Maryland, United States'}, {'name': 'Hung Fu Tseng, PhD MPH', 'details': 'Dr.;Kaiser Permanente Southern California;Pasadena, California, United States'}]",695518,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=13,
,,,,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=14,Main content div not found
"Director Health Economics and Outcomes Research;Moderna, Inc.;Cambridge, Massachusetts, United States","Darshan Mehta, PhD (he/him/his)","[{'name': 'Tianyu Sun, PhD', 'details': 'Moderna, Inc.;Cambridge, Massachusetts, United States'}, {'name': 'Jane Wang, MS', 'details': 'Moderna, Inc.;Cambridge, Massachusetts, United States'}, {'name': 'Aaron Situ, MSc', 'details': 'Moderna, Inc.;Cambridge, Massachusetts, United States'}, {'name': 'Yoonyoung Park, ScD', 'details': 'Director, Lead Epidemiologist;Moderna, Inc;Belmont, Massachusetts, United States'}]",695357,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=15,
"Senior Director, Vaccine Value Evidence;GSK;Wavre, Vlaams-Brabant, Belgium","Desmond Curran, PhD","[{'name': 'Sean Matthews, MSc', 'details': 'Mr.;GSK;Dublin, Dublin, Ireland'}, {'name': 'Nikolaos Giannelos, PhD', 'details': 'GSK;Wavre, Brabant Wallon, Belgium'}]",695034,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=16,
"Senior Principal Scientist;Merck & Co, Inc.;Kenilworth, New Jersey, United States","Nicole Cossrow, PhD","[{'name': 'Yi-Ling Huang, PhD', 'details': 'Merck;Boston, Massachusetts, United States'}, {'name': 'Lei Ai, Ph.D.', 'details': 'Merck;Rahway, New Jersey, United States'}, {'name': 'Salini Mohanty, DrPH, MPH (she/her/hers)', 'details': 'Associate Director;Merck & Co., Inc;Rahway, New Jersey, United States'}, {'name': 'Valina C. McGuinn, BS', 'details': 'Senior Specialist;Merck;Philadelphia, Pennsylvania, United States'}, {'name': 'Kelly D. Johnson, PhD', 'details': 'Director, Outcomes Research;Merck & Co., Inc;North Wales, PA, United States'}, {'name': 'Nicole Cossrow, PhD', 'details': 'Senior Principal Scientist;Merck & Co, Inc.;Kenilworth, New Jersey, United States'}]",695444,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=17,
"Epidemiologist;GSK;Rockville, Maryland, United States","Huifeng Yun, MD, PhD","[{'name': 'Germain Lonnet, MSc.', 'details': 'GSK;Wavre, Brabant Wallon, Belgium'}, {'name': 'Emmanuel Aris, PhD', 'details': 'Lead Real World Data & Analytics;GSK;Wavre, Brabant Wallon, Belgium'}, {'name': 'Nathalie Servotte, PhD', 'details': 'GSK;Wavre, Brabant Wallon, Belgium'}, {'name': 'Ramsanjay RK, B.Tech Mechanical Engineering', 'details': 'GSK;Bengaluru, Karnataka, India'}, {'name': 'Agnes Mwakingwe-Omar, MD, PhD', 'details': 'GSK, Rockville, MD, USA;Rockville, Maryland, United States'}, {'name': 'Huifeng Yun, MD, PhD', 'details': 'Epidemiologist;GSK;Rockville, Maryland, United States'}]",695445,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=18,
"Senior Director;GSK;Wavre, Brabant Wallon, Belgium","Eliana Biundo, MSc (she/her/hers)","[{'name': 'Victoria G. Soares, MBA', 'details': 'GSK;Wavre, Brabant Wallon, Belgium'}, {'name': 'Maria Waize, MSc', 'details': 'GSK;Munich, Bayern, Germany'}, {'name': 'Pavo Marijic, PhD', 'details': 'GSK;Munich, Bayern, Germany'}, {'name': 'Alexander Heiseke, PhD', 'details': 'GSK;Munich, Bayern, Germany'}, {'name': 'Daniel Heinze, PhD', 'details': 'GSK;Munich, Bayern, Germany'}, {'name': 'Nicolas Jamet, PharmD', 'details': 'GSK;Paris, Ile-de-France, France'}, {'name': 'Hiral Shah, PhD', 'details': 'GSK;Wavre, Brabant Wallon, Belgium'}, {'name': 'Pavitra Deeywadaa, MBBS, MD', 'details': 'GSK;Wavre, Brabant Wallon, Belgium'}, {'name': 'Jorge Jacob, MSc', 'details': 'IQVIA;London, England, United Kingdom'}, {'name': 'Stavros Oikonomou, MSc', 'details': 'IQVIA;Sofia, Sofiya, Bulgaria'}, {'name': 'Frederik Verelst, PhD', 'details': 'GSK;Wavre, Brabant Wallon, Belgium'}, {'name': 'Eliana Biundo, MSc (she/her/hers)', 'details': 'Senior Director;GSK;Wavre, Brabant Wallon, Belgium'}]",695115,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=19,
"Senior Director Medical Affairs;Pfizer Vaccines;Nashville, Tennessee, United States","Sarah E. Williams, MD, MPH (she/her/hers)","[{'name': 'Elizabeth Begier, MD,  M.P.H.', 'details': 'Senior Director, Scientific Affairs Lead, RSV Antiviral/Adult Vaccine Program;Pfizer Vaccines;Dublin, Dublin, Ireland'}, {'name': 'Kumar Ilangovan, MD, MSPH, MMCi (he/him/his)', 'details': 'Director, Clinician Medical Monitor;Vaccine Research and Development, Pfizer, USA;Raleigh, North Carolina, United States'}, {'name': 'Cassandra Hall-Murray, PharmD', 'details': 'Senior Director, Vaccines Medical Development and Scientific Affairs;Pfizer, Inc.;Collegeville, Pennsylvania, United States'}, {'name': 'Bradford D. Gessner, M.D., M.P.H.', 'details': 'Vice President Global Medical Lead for Respiratory Vaccines;Pfizer Biopharma Group;Collegeville, Pennsylvania, United States'}]",695124,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=20,
